6-14-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,cin,atl,7.07,cin,cin,3-1,,3,-188.24451447657063,+188.24451447657063
,bal,bos,-0.68,bos,bal,3-2,1,,+100.0,-100.0
,chc,wsh,-0.98,wsh,chc,4-3,1,,+102.02502121733836,-102.02502121733836
,min,laa,3.44,min,laa,4-5,2,,-131.28706192739318,+131.28706192739318
,phi,tor,-1.8,tor,tor,3-11,,1,+111.10902608369302,-111.10902608369302
,pit,nym,-1.62,nym,pit,4-0,1,,+109.06156444949909,-109.06156444949909
,mil,sf,-6.95,sf,sf,2-3,,3,+186.02556201423587,-186.02556201423587
,sea,tb,6.61,sea,tb,7-8,3,,-179.8814391509744,+179.8814391509744
,hou,stl,-9.7,stl,hou,5-2,4,,+244.5632271158497,-244.5632271158497
,tex,oak,-0.73,oak,tex,10-6,1,,+100.0,-100.0
,,,,,,,,
6-13-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,lad,ari,4.48,lad,ari,2-3,2,,-145.67855797618995,+145.67855797618995
,cin,atl,4.0,cin,cin,9-8,,2,-138.86837336863385,+138.86837336863385
,chc,wsh,6.96,chc,wsh,1-4,3,,-186.20945330743638,+186.20945330743638
,det,chw,3.27,det,chw,9-10,2,,-129.0593581309978,+129.0593581309978
,cle,kc,3.51,cle,kc,1-2,2,,-132.2141385900422,+132.2141385900422
,min,laa,0.7,min,min,9-4,,1,-100.0,+100.0
,mia,sd,-0.74,sd,mia,13-4,1,,+100.0,-100.0
,mil,sf,-3.53,sf,sf,5-11,,2,+132.48007734232678,-132.48007734232678
,tex,oak,2.07,tex,oak,5-14,1,,-114.23893878407978,+114.23893878407978
,phi,tor,-5.68,tor,phi,7-0,2,,+164.08895368000017,-164.08895368000017
,,,,,,,,
6-12-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mia,ari,2.16,mia,ari,0-6,1,,-115.29823110973321,+115.29823110973321
,chc,atl,11.73,chc,chc,13-2,,4,-300.90053148026874,+300.90053148026874
,bal,tor,-3.32,tor,tor,9-10,,2,+129.7110966706474,-129.7110966706474
,bos,min,9.99,bos,min,4-7,4,,-251.8190805560149,+251.8190805560149
,kc,chw,-1.92,chw,kc,3-1,1,,+112.4912983501651,-112.4912983501651
,oak,cin,-9.23,cin,oak,6-1,4,,+233.29353165447532,-233.29353165447532
,cle,laa,2.76,cle,cle,8-3,,1,-122.57228048547795,+122.57228048547795
,sd,col,-3.1,col,col,1-2,,2,+126.86477241324367,-126.86477241324367
,det,nyy,-0.41,nyy,det,4-1,1,,+100.0,-100.0
,hou,tb,1.9,hou,tb,0-5,1,,-112.25994826564114,+112.25994826564114
,lad,sf,-3.47,sf,sf,1-2,,2,+131.68367574967635,-131.68367574967635
,nym,mil,0.19,nym,mil,3-5,1,,-100.0,+100.0
,phi,wsh,-11.3,wsh,wsh,4-5,,4,+287.8068009290341,-287.8068009290341
,stl,pit,6.41,stl,stl,8-3,,3,-176.36298861483434,+176.36298861483434
,tex,sea,3.92,tex,tex,6-4,,2,-137.76188999268095,+137.76188999268095
,,,,,,,,
6-11-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mia,ari,11.21,mia,ari,3-5,4,,-285.15185599898024,+285.15185599898024
,chc,atl,7.42,chc,chc,8-2,,3,-194.87252834529923,+194.87252834529923
,bal,tor,-0.23,tor,tor,6-11,,1,+100.0,-100.0
,bos,min,7.64,bos,bos,15-4,,3,-199.16159900323453,+199.16159900323453
,kc,chw,-5.67,chw,kc,4-1,2,,+163.92675504693938,-163.92675504693938
,oak,cin,-5.68,cin,cin,1-2,,2,+164.08895368000017,-164.08895368000017
,cle,laa,8.65,cle,laa,3-4,3,,-220.16594170015367,+220.16594170015367
,sd,col,0.33,sd,col,3-5,1,,-100.0,+100.0
,det,nyy,-6.09,nyy,det,6-1,3,,+170.87531552376066,-170.87531552376066
,hou,tb,-5.24,tb,hou,4-3,2,,+157.0963820973907,-157.0963820973907
,lad,sf,1.17,lad,sf,4-5,1,,-104.07529289906412,+104.07529289906412
,nym,mil,8.48,nym,mil,4-7,3,,-216.47164315098578,+216.47164315098578
,phi,wsh,-9.0,wsh,wsh,0-8,,4,+227.98833819241975,-227.98833819241975
,stl,pit,4.25,stl,stl,5-1,,2,-142.3781989288313,+142.3781989288313
,tex,sea,-0.09,sea,tex,2-1,1,,+100.0,-100.0
,,,,,,,,
6-10-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mia,ari,8.16,mia,mia,8-6,,3,-209.69657688167817,+209.69657688167817
,chc,atl,11.41,chc,atl,1-5,4,,-291.091246131677,+291.091246131677
,bal,tor,4.92,bal,tor,3-4,2,,-152.1902568131222,+152.1902568131222
,bos,min,2.01,bos,bos,8-1,,1,-113.53722113258193,+113.53722113258193
,kc,chw,-0.61,chw,chw,5-7,,1,+100.0,-100.0
,oak,cin,-3.04,cin,cin,1-2,,2,+126.09799326462449,-126.09799326462449
,cle,laa,4.83,cle,cle,6-2,,2,-150.83664084153773,+150.83664084153773
,sd,col,-4.22,col,sd,7-5,2,,+141.95280246264278,-141.95280246264278
,det,nyy,-2.78,nyy,nyy,0-4,,1,+122.82128102295763,-122.82128102295763
,hou,tb,-2.2,tb,tb,3-4,,1,+115.77163369612964,-115.77163369612964
,lad,sf,-2.53,sf,lad,3-2,1,,+119.73950607990727,-119.73950607990727
,nym,mil,6.4,nym,nym,2-1,,3,-176.18888137062422,+176.18888137062422
,phi,wsh,-4.23,wsh,wsh,6-9,,2,+142.09447225691494,-142.09447225691494
,stl,pit,-1.59,pit,stl,9-3,1,,+108.72330986106577,-108.72330986106577
,tex,sea,4.43,tex,sea,5-7,2,,-144.95516928944153,+144.95516928944153
,,,,,,,,
6-9-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bal,tor,1.38,bal,bal,6-5,,1,-106.3790595270587,+106.3790595270587
,wsh,chw,12.59,wsh,chw,1-3,5,,-329.28662109165964,+329.28662109165964
,stl,cin,5.38,stl,stl,3-2,,2,-159.28969164629646,+159.28969164629646
,cle,sea,-2.95,sea,cle,5-3,1,,+124.95533872788988,-124.95533872788988
,pit,col,6.65,pit,col,5-11,3,,-180.59352265826368,+180.59352265826368
,hou,tex,-3.3,tex,tex,3-5,,2,+129.45005637106323,-129.45005637106323
,laa,nyy,-11.25,nyy,nyy,3-6,,4,+286.3282717175511,-286.3282717175511
,mia,min,0.91,mia,mia,10-3,,1,-101.27767812078478,+101.27767812078478
,nym,mil,3.35,nym,nym,5-2,,2,-130.10352212264658,+130.10352212264658
,,,,,,,,
6-8-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,tb,ari,0.07,tb,tb,6-3,,1,-100.0,+100.0
,atl,sd,-17.32,sd,atl,4-2,6,,+564.1403702306523,-564.1403702306523
,kc,bal,-9.62,bal,bal,0-4,,4,+242.6030212454478,-242.6030212454478
,bos,sf,1.51,bos,sf,1-2,1,,-107.82542668719599,+107.82542668719599
,chc,phi,4.74,chc,chc,8-1,,2,-149.49429662198276,+149.49429662198276
,wsh,chw,10.22,wsh,wsh,11-4,,4,-257.746406106104,+257.746406106104
,stl,cin,1.41,stl,stl,12-7,,1,-106.711451255513,+106.711451255513
,cle,sea,0.11,cle,sea,0-5,1,,-100.0,+100.0
,col,lad,-5.84,lad,col,1-0,2,,+166.7054098042401,-166.7054098042401
,tor,det,-4.39,det,tor,7-2,2,,+144.37883999318245,-144.37883999318245
