10-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,col,ari,-56.52,ari,ari,6-8,,2,+129.99080036798532,-129.99080036798532
,wsh,atl,58.99,wsh,wsh,3-0,,2,-143.84296513045598,+143.84296513045598
,tor,bal,58.69,tor,bal,4-6,2,,-142.0721374969741,+142.0721374969741
,bos,nyy,-55.06,nyy,nyy,1-4,,2,+122.51891410769917,-122.51891410769917
,chc,cin,61.24,chc,chc,5-3,,3,-157.9979360165119,+157.9979360165119
,kc,chw,57.65,kc,kc,6-4,,2,-136.12750885478158,+136.12750885478158
,min,cle,52.14,min,min,4-2,,1,-108.94274968658588,+108.94274968658588
,laa,tex,-54.36,tex,tex,3-5,,1,+119.10604732690624,-119.10604732690624
,lad,sf,-56.19,sf,lad,3-2,2,,+128.2583884957772,-128.2583884957772
,mia,tb,-55.93,tb,tb,1-4,,2,+126.9117313365101,-126.9117313365101
,mil,sd,-50.24,sd,sd,1-3,,1,+100.9646302250804,-100.9646302250804
,nym,phi,61.14,nym,phi,0-3,3,,-157.3340195573855,+157.3340195573855
,,,,,,,,
9-30-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,col,ari,-56.24,ari,ari,1-3,,2,+128.51919561243145,-128.51919561243145
,wsh,atl,59.24,wsh,atl,0-2,2,,-145.33856722276744,+145.33856722276744
,tor,bal,59.09,tor,bal,1-8,2,,-144.43901246638964,+144.43901246638964
,bos,nyy,-55.72,nyy,bos,9-5,2,,+125.83559168925022,-125.83559168925022
,chc,cin,59.54,chc,chc,10-3,,2,-147.15768660405337,+147.15768660405337
,kc,chw,57.36,kc,kc,5-3,,2,-134.52157598499062,+134.52157598499062
,min,cle,53.34,min,cle,2-10,1,,-114.31633090441493,+114.31633090441493
,det,tex,-55.93,tex,tex,2-6,,2,+126.9117313365101,-126.9117313365101
,hou,sea,55.96,hou,hou,7-6,,2,-127.06630336058132,+127.06630336058132
,oak,laa,-60.4,laa,oak,8-7,3,,+152.5252525252525,-152.5252525252525
,lad,sf,-52.38,sf,sf,0-5,,1,+109.99580008399832,-109.99580008399832
,mia,tb,-55.28,tb,tb,4-6,,2,+123.61359570661898,-123.61359570661898
,mil,sd,-52.9,sd,mil,5-0,1,,+112.31422505307856,-112.31422505307856
,nym,phi,61.34,nym,phi,5-7,3,,-158.66528711846874,+158.66528711846874
,stl,pit,-50.65,pit,stl,11-1,1,,+102.63424518743669,-102.63424518743669
,,,,,,,,
9-29-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,col,ari,-55.98,ari,ari,3-4,,2,+127.16946842344386,-127.16946842344386
,wsh,atl,59.46,wsh,atl,1-2,2,,-146.66995559940798,+146.66995559940798
,tor,bal,58.53,tor,tor,15-2,,2,-141.13817217265492,+141.13817217265492
,bos,nyy,-56.35,nyy,bos,10-4,2,,+129.09507445589918,-129.09507445589918
,chc,cin,59.11,chc,chc,4-1,,2,-144.5585717779408,+144.5585717779408
,kc,chw,57.65,kc,chw,2-4,2,,-136.12750885478158,+136.12750885478158
,min,cle,51.9,min,min,7-1,,1,-107.90020790020792,+107.90020790020792
,det,tex,-55.72,tex,tex,6-7,,2,+125.83559168925022,-125.83559168925022
,hou,sea,56.28,hou,sea,4-6,2,,-128.72827081427266,+128.72827081427266
,oak,laa,-59.98,laa,laa,1-8,,2,+149.8750624687656,-149.8750624687656
,lad,sf,-56.19,sf,lad,8-0,2,,+128.2583884957772,-128.2583884957772
,mia,tb,-54.6,tb,tb,2-4,,1,+120.26431718061676,-120.26431718061676
,mil,sd,-53.64,sd,mil,4-3,1,,+115.70319240724763,-115.70319240724763
,nym,phi,62.55,nym,phi,3-4,3,,-167.02269692923895,+167.02269692923895
,stl,pit,50.09,stl,pit,2-8,1,,-100.36064916850331,+100.36064916850331
,,,,,,,,
9-28-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,tor,bal,58.36,tor,tor,4-3,,2,-140.15369836695487,+140.15369836695487
,bos,nyy,-56.95,nyy,bos,5-1,2,,+132.28803716608596,-132.28803716608596
,kc,chc,-52.27,chc,chc,0-1,,1,+109.51183741881417,-109.51183741881417
,cin,wsh,-58.87,wsh,wsh,1-5,,2,+143.13153415998053,-143.13153415998053
,min,cle,-50.2,cle,min,4-2,1,,+100.80321285140563,-100.80321285140563
,det,tex,-56.04,tex,det,7-4,2,,+127.47952684258416,-127.47952684258416
,hou,sea,56.06,hou,hou,3-2,,2,-127.58306781975422,+127.58306781975422
,oak,laa,-59.54,laa,laa,4-5,,2,+147.15768660405337,-147.15768660405337
,lad,sf,-52.38,sf,sf,2-3,,1,+109.99580008399832,-109.99580008399832
,stl,pit,-50.65,pit,stl,3-0,1,,+102.63424518743669,-102.63424518743669
,,,,,,,,
9-27-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
