Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won
7-1-2012,arizona-diamondbacks,milwaukee-brewers,-50.43%,102,-102,117,-135,15,33,$100,$117.0,$0
7-1-2012,washington-nationals,atlanta-braves,50.35%,-101,101,-103,-114,2,15
7-1-2012,cleveland-indians,baltimore-orioles,-50.05%,100,-100,-105,-112,5,12
7-1-2012,boston-red-sox,seattle-mariners,56.3%,-129,129,-135,116,6,13
7-1-2012,houston-astros,chicago-cubs,-54.57%,120,-120,100,-119,20,1,$100,$84.03361344537815,$184.03361344537814
7-1-2012,chicago-white-sox,new-york-yankees,-52.67%,111,-111,127,-147,16,36,$100,$127.0,$0
7-1-2012,cincinnati-reds,san-francisco-giants,-50.1%,100,-100,131,-151,31,51,$100,$131.0,$0
7-1-2012,san-diego-padres,colorado-rockies,-50.18%,101,-101,134,-156,33,55,$100,$134.0,$234.0
7-1-2012,detroit-tigers,tampa-bay-rays,50.5%,-102,102,102,-119,4,21,$100,$102.0,$202.0
7-1-2012,kansas-city-royals,minnesota-twins,55.56%,-125,125,122,-140,47,65,$100,$122.0,$0,$100,$122.0,$0
7-1-2012,los-angeles-angels,toronto-blue-jays,52.28%,-110,110,-147,127,37,17,$100,$127.0,$0
7-1-2012,new-york-mets,los-angeles-dodgers,57.47%,-135,135,125,-144,60,79,$100,$125.0,$0,$100,$125.0,$0
7-1-2012,philadelphia-phillies,miami-marlins,51.28%,-105,105,114,-133,19,38,$100,$113.99999999999999,$0
7-1-2012,oakland-athletics,texas-rangers,-58.11%,139,-139,189,-222,50,83,$100,$189.0,$289.0,$100,$189.0,$289.0
,,,,,,,,,,$1100,$-190.96638655462186,-17.360580595874715%,$300,$-11.0,-3.6666666666666665%
,,,,,,,,,,,,,,,
7-2-2012,san-diego-padres,arizona-diamondbacks,-56.93%,132,-132,143,-166,11,34,$100,$143.0,$243.0
7-2-2012,chicago-cubs,atlanta-braves,-57.47%,135,-135,179,-212,44,77,$100,$179.0,$279.0
7-2-2012,baltimore-orioles,seattle-mariners,54.68%,-121,121,-135,116,14,5
7-2-2012,boston-red-sox,oakland-athletics,54.36%,-119,119,-101,-116,18,35,$100,$99.00990099009901,$0
7-2-2012,cincinnati-reds,los-angeles-dodgers,50.24%,-101,101,-103,-114,2,15
7-2-2012,los-angeles-angels,cleveland-indians,55.42%,-124,124,-126,108,2,16
7-2-2012,minnesota-twins,detroit-tigers,-55.81%,126,-126,145,-169,19,43,$100,$145.0,$245.0
7-2-2012,houston-astros,pittsburgh-pirates,-60.13%,151,-151,165,-192,14,41,$100,$165.0,$0
7-2-2012,kansas-city-royals,toronto-blue-jays,-54.34%,119,-119,144,-166,25,47,$100,$144.0,$244.0
7-2-2012,miami-marlins,milwaukee-brewers,-54.18%,118,-118,134,-156,16,38,$100,$134.0,$0
7-2-2012,new-york-yankees,tampa-bay-rays,58.31%,-140,140,-102,-114,38,54,$100,$98.0392156862745,$0
,,,,,,,,,,$800,$211.0,26.375%,$0,$0,0%
,,,,,,,,,,,,,,,
7-3-2012,san-diego-padres,arizona-diamondbacks,-56.34%,129,-129,123,-140,6,11
