Year,win-loss,num wins,num games
2002,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",1,1,=C4/D4*100
,"""3-7""",5,12,=C5/D5*100
,"""4-6""",6,9,=C6/D6*100
,"""5-5""",18,24,=C7/D7*100
,"""6-4""",24,39,=C8/D8*100
,"""7-3""",14,28,=C9/D9*100
,"""8-2""",14,20,=C10/D10*100
,"""9-1""",11,14,=C11/D11*100
,"""10-0""",0,1,=C12/D12*100
,,,
2003,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",6,14,=C16/D16*100
,"""3-7""",10,25,=C17/D17*100
,"""4-6""",13,23,=C18/D18*100
,"""5-5""",16,34,=C19/D19*100
,"""6-4""",15,33,=C20/D20*100
,"""7-3""",4,12,=C21/D21*100
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2004,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",8,13,=C29/D29*100
,"""4-6""",17,32,=C30/D30*100
,"""5-5""",16,29,=C31/D31*100
,"""6-4""",19,36,=C32/D32*100
,"""7-3""",8,14,=C33/D33*100
,"""8-2""",10,13,=C34/D34*100
,"""9-1""",1,5,=C35/D35*100
,"""10-0""",0,0,0
,,,
2005,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",2,2,=C41/D41*100
,"""4-6""",12,21,=C42/D42*100
,"""5-5""",25,39,=C43/D43*100
,"""6-4""",28,53,=C44/D44*100
,"""7-3""",10,19,=C45/D45*100
,"""8-2""",8,11,=C46/D46*100
,"""9-1""",2,4,=C47/D47*100
,"""10-0""",0,0,0
,,,
2006,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",4,6,=C52/D52*100
,"""3-7""",3,9,=C53/D53*100
,"""4-6""",13,23,=C54/D54*100
,"""5-5""",24,41,=C55/D55*100
,"""6-4""",22,38,=C56/D56*100
,"""7-3""",12,24,=C57/D57*100
,"""8-2""",2,5,=C58/D58*100
,"""9-1""",3,4,=C59/D59*100
,"""10-0""",0,0,0
,,,
2007,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",2,2,=C64/D64*100
,"""3-7""",5,7,=C65/D65*100
,"""4-6""",7,11,=C66/D66*100
,"""5-5""",25,38,=C67/D67*100
,"""6-4""",21,43,=C68/D68*100
,"""7-3""",17,32,=C69/D69*100
,"""8-2""",10,16,=C70/D70*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2008,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",3,3,=C77/D77*100
,"""4-6""",6,10,=C78/D78*100
,"""5-5""",15,19,=C79/D79*100
,"""6-4""",39,64,=C80/D80*100
,"""7-3""",19,38,=C81/D81*100
,"""8-2""",10,15,=C82/D82*100
,"""9-1""",0,1,=C83/D83*100
,"""10-0""",0,0,0
,,,
2009,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",4,6,=C89/D89*100
