ari | arizona-diamondbacks
atl | atlanta-braves
bal | baltimore-orioles
bos | boston-red-sox
chc | chicago-cubs
chw | chicago-white-sox
cin | cincinnati-reds
cle | cleveland-indians
col | colorado-rockies
det | detroit-tigers
hou | houston-astros
kc | kansas-city-royals
laa | los-angeles-angels
lad | los-angeles-dodgers
mia | miami-marlins
mil | milwaukee-brewers
min | minnesota-twins
nym | new-york-mets
nyy | new-york-yankees
oak | oakland-athletics
phi | philadelphia-phillies
pit | pittsburgh-pirates
sd | san-diego-padres
sf | san-francisco-giants
sea | seattle-mariners
stl | st.-louis-cardinals
tb | tampa-bay-rays
tex | texas-rangers
tor | toronto-blue-jays
wsh | washington-nationals
