tb,phi,2-10,-114,-109
phi,lad,2-7,120,-149
lad,phi,5-8,104,-121
laa,bos,5-4,145,-181
tb,chw,3-5,122,-149
phi,mil,6-2,0,0
phi,mil,1-4,-106,-120
chw,tb,2-6,0,0
mil,phi,2-5,-140,112
chw,tb,4-6,152,-196
lad,chc,7-2,134,-166
mil,phi,1-3,162,-204
min,chw,0-1,125,-153
det,chw,2-8,175,-222
nyy,bos,3-4,135,-166
col,ari,1-2,112,-140
oak,sea,3-4,-120,-105
pit,sd,6-1,135,-166
lad,sf,1-3,144,-181
tex,laa,0-7,104,-131
kc,min,0-6,197,-250
cle,chw,1-5,0,0
atl,hou,1-3,-108,-117
chc,mil,1-3,0,0
tor,bal,10-1,-129,104
nyy,bos,6-2,110,-133
wsh,phi,3-8,0,0
mia,nym,4-2,0,0
tb,det,8-7,104,-131
pit,sd,2-3,150,-185
tex,laa,8-4,131,-163
lad,sf,2-1,125,-153
col,ari,4-6,179,-227
kc,min,4-2,125,-153
tor,bal,1-2,-119,-106
cle,chw,12-6,170,-212
tb,det,3-4,-113,-113
atl,hou,11-5,-107,-119
wsh,phi,3-4,215,-277
oak,sea,3-7,-107,-119
mia,nym,0-2,0,0
chc,mil,7-3,125,-153
lad,sf,5-6,-113,-113
oak,sea,8-10,-106,-119
tex,laa,12-1,138,-172
pit,sd,6-3,110,-138
col,ari,4-6,131,-163
cle,chw,11-8,140,-175
kc,min,8-1,190,-243
atl,hou,4-5,-112,-113
chc,mil,1-5,-104,-121
mia,nym,6-1,133,-166
tor,bal,3-0,-112,-113
nyy,bos,19-8,147,-185
tb,det,4-6,-109,-116
wsh,phi,4-8,218,-277
col,sf,3-1,-106,-119
sd,lad,7-5,106,-133
laa,sea,6-4,-119,-107
chw,min,6-7,120,-149
cin,hou,6-8,156,-196
pit,mil,1-5,184,-227
chc,nym,6-7,-120,-105
nyy,tor,2-8,147,-185
cle,bos,1-6,141,-172
col,sf,15-6,114,-142
sd,lad,4-12,188,-243
laa,sea,6-5,110,-136
chw,min,2-3,-104,-121
cin,hou,0-5,-101,-126
pit,mil,2-4,220,-285
chc,nym,9-6,112,-138
mia,wsh,9-4,-142,114
nyy,tor,6-2,127,-158
tb,bal,11-6,-147,118
cle,bos,4-5,149,-185
kc,det,10-4,100,-126
atl,phi,10-4,225,-294
oak,tex,4-14,-104,-121
col,sf,9-4,143,-178
sd,lad,1-10,206,-270
laa,sea,6-9,-147,119
chw,min,3-9,112,-138
tb,bal,5-2,-172,138
cin,hou,2-1,-109,-116
pit,mil,5-7,167,-208
oak,tex,4-6,112,-138
chc,nym,2-6,210,-263
mia,wsh,4-9,-129,104
nyy,tor,3-1,-121,-103
cle,bos,4-5,-108,-117
kc,det,5-0,-121,-104
atl,phi,3-2,229,-303
tb,bal,7-5,-126,-103
laa,sea,2-1,-153,118
oak,tex,4-3,104,-136
chc,nym,9-5,112,-149
tb,bal,4-2,-136,106
cle,bos,4-3,223,-294
kc,det,6-2,102,-133
atl,phi,2-6,125,-163
mia,cin,5-7,-119,-111
bal,nyy,3-7,187,-238
sf,lad,1-0,150,-188
phi,mia,5-2,-119,-107
sea,oak,3-5,118,-144
ari,col,13-4,-151,123
laa,tex,7-3,-138,112
chw,kc,3-0,-153,125
min,tb,4-1,-107,-119
hou,pit,6-2,-188,154
sd,wsh,6-2,100,-128
nym,atl,6-7,-135,108
mil,cin,8-1,120,-147
bos,tor,3-0,-185,148
det,cle,5-10,123,-151
sf,lad,7-10,193,-250
ari,col,5-3,118,-147
laa,tex,7-3,114,-142
min,tb,2-7,131,-163
mil,cin,3-4,0,0
chw,kc,2-5,-149,122
phi,mia,3-2,-136,110
sd,wsh,6-1,-116,-108
nym,atl,2-4,-123,-104
det,cle,3-6,-108,-116
hou,pit,4-6,-125,100
sea,oak,7-8,0,0
bos,tor,3-6,112,-138
sf,lad,7-1,166,-208
sea,oak,0-2,-101,-126
chw,kc,9-4,-138,112
ari,col,2-3,-105,-120
laa,tex,15-13,-106,-120
sd,wsh,11-6,-123,104
nym,atl,9-5,-149,122
mil,cin,2-11,-113,-113
phi,mia,8-14,-136,110
min,tb,1-11,108,-135
bos,tor,4-3,117,-144
det,cle,5-6,-112,-113
bal,nyy,2-3,170,-212
hou,pit,5-1,-121,-103
sf,ari,2-3,-111,-114
hou,mia,1-8,127,-158
min,tb,11-8,136,-169
nym,wsh,7-2,-222,175
bal,tor,2-3,170,-208
chw,nyy,2-9,112,-140
phi,atl,4-3,-217,171
laa,oak,6-4,-126,100
mil,chc,6-7,202,-256
sea,kc,0-12,165,-200
lad,pit,4-3,-136,110
laa,oak,2-3,-121,-104
sf,ari,6-7,172,-217
sea,kc,2-5,124,-153
mil,chc,6-2,100,-126
det,tex,17-4,112,-140
hou,mia,2-14,139,-172
bos,tb,3-10,106,-131
nym,wsh,9-7,-125,-102
bal,tor,7-8,141,-175
min,cle,4-6,141,-175
chw,nyy,1-5,116,-142
lad,pit,8-15,-188,150
phi,atl,6-1,110,-133
sd,col,0-1,135,-166
oak,laa,8-1,123,-151
ari,sf,2-0,-169,136
sd,col,3-10,143,-178
sea,kc,3-6,-111,-114
mil,chc,4-5,-119,-106
det,tex,4-5,112,-138
