---- Start output ----
[20:52:51] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/chc/year/2016/seasontype/2/half/1/chicago-cubs
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 383)
[20:52:52] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/chc/year/2016/seasontype/2/half/2/chicago-cubs
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:52] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 383)
[20:52:52] Loading existing data
[20:52:52] Saving data to ./mlb/team_data/2016/chicago-cubs.csv
[20:52:52] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/pit/year/2016/seasontype/2/half/1/pittsburgh-pirates
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 383)
[20:52:53] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/pit/year/2016/seasontype/2/half/2/pittsburgh-pirates
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[20:52:53] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 383)
[20:52:53] Loading existing data
[20:52:53] Saving data to ./mlb/team_data/2016/pittsburgh-pirates.csv
