Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won,Bet,To win,Won,Bet,To win,Won,Bet,To win,Won
2-2-2015,atlanta-hawks,new-orleans-pelicans,65.44%,-189,189,-153,131,36,58,$100,$65.359477124183,$0,$100,$65.359477124183,$0,,,,,,
2-2-2015,los-angeles-clippers,brooklyn-nets,81.21%,-432,432,-400,320,32,112,$100,$25.0,$0,$100,$25.0,$0,,,,,,
2-2-2015,charlotte-hornets,washington-wizards,-66.74%,201,-201,289,-370,88,169,$100,$289.0,$389.0,,,,,,,$100,$289.0,$389.0
2-2-2015,philadelphia-76ers,cleveland-cavaliers,-81.79%,449,-449,1573,-3333,924,2684,$100,$1573.0,$0,,,,,,,$100,$1573.0,$0
2-2-2015,minnesota-timberwolves,dallas-mavericks,-82.04%,457,-457,472,-625,15,168,$100,$472.0,$0,,,,,,,,,
2-2-2015,memphis-grizzlies,phoenix-suns,64.44%,-181,181,-142,122,39,59,$100,$70.42253521126761,$170.42253521126761,$100,$70.42253521126761,$170.42253521126761,,,,,,
2-2-2015,milwaukee-bucks,toronto-raptors,-61.93%,163,-163,200,-243,37,80,$100,$200.0,$300.0,,,,,,,,,
2-2-2015,orlando-magic,oklahoma-city-thunder,-69.78%,231,-231,484,-666,53,235,$100,$484.0,$0,,,,,,,$100,$484.0,$0
,,,,,,,,,,$800,$59.422535211267586,7.427816901408449%,$300,$-129.57746478873239,-43.19248826291079%,$0,$0,0%,$300,$89.0,29.666666666666668%
,,,,,,,,,,,,,,,,,,,,,,,,
2-3-2015,boston-celtics,new-york-knicks,60.91%,-156,156,-111,-105,45,61,$100,$90.09009009009009,$190.0900900900901,$100,$90.09009009009009,$190.0900900900901,,,,$100,$90.09009009009009,$190.0900900900901
2-3-2015,denver-nuggets,philadelphia-76ers,66.36%,-197,197,-322,263,125,66,$100,$263.0,$363.0,,,,,,,$100,$263.0,$363.0
2-3-2015,miami-heat,detroit-pistons,60.24%,-152,152,149,-172,101,124,$100,$149.0,$0,$100,$149.0,$0,$100,$149.0,$0,$100,$149.0,$0
2-3-2015,golden-state-warriors,sacramento-kings,80.2%,-405,405,-625,463,20,58,$100,$463.0,$0,,,,,,,$100,$463.0,$0
2-3-2015,utah-jazz,portland-trail-blazers,-73.77%,281,-281,323,-400,42,119,$100,$323.0,$0,,,,,,,,,
,,,,,,,,,,$500,$53.09009009009014,10.618018018018029%,$200,$-9.909909909909913,-4.954954954954957%,$100,$-100,-100.0%,$400,$153.09009009009014,38.272522522522536%
,,,,,,,,,,,,,,,,,,,,,,,,
2-4-2015,washington-wizards,atlanta-hawks,-68.27%,215,-215,200,-238,15,23,,,,,,,,,,,,
2-4-2015,denver-nuggets,boston-celtics,-60.59%,154,-154,141,-163,13,9,,,,,,,,,,,,
2-4-2015,brooklyn-nets,toronto-raptors,-70.71%,241,-241,271,-333,30,92,$100,$271.0,$371.0,,,,,,,,,
2-4-2015,chicago-bulls,houston-rockets,-56.34%,129,-129,127,-147,2,18,,,,,,,,,,,,
2-4-2015,dallas-mavericks,golden-state-warriors,-63.46%,174,-174,308,-384,134,10,$100,$308.0,$0,,,,,,,$100,$308.0,$0
2-4-2015,detroit-pistons,indiana-pacers,57.18%,-134,134,154,-181,88,115,$100,$154.0,$0,$100,$154.0,$0,$100,$154.0,$0,$100,$154.0,$0
2-4-2015,los-angeles-lakers,milwaukee-bucks,-70.54%,239,-239,370,-476,131,37,$100,$370.0,$0,,,,,,,$100,$370.0,$0
2-4-2015,memphis-grizzlies,utah-jazz,70.96%,-244,244,-277,227,33,17,,,,,,,,,,,,
2-4-2015,miami-heat,minnesota-timberwolves,68.71%,-220,220,108,-125,128,145,$100,$108.0,$0,$100,$108.0,$0,$100,$108.0,$0,$100,$108.0,$0
2-4-2015,oklahoma-city-thunder,new-orleans-pelicans,-71.48%,251,-251,147,-172,104,79,$100,$58.139534883720934,$0,$100,$58.139534883720934,$0,,,,$100,$58.139534883720934,$0
2-4-2015,orlando-magic,san-antonio-spurs,-74.44%,291,-291,982,-1666,491,1175,$100,$982.0,$0,,,,,,,$100,$982.0,$0
,,,,,,,,,,$700,$-329.0,-47.0%,$300,$-300,-100.0%,$200,$-200,-100.0%,$600,$-600,-100.0%
,,,,,,,,,,,,,,,,,,,,,,,,
2-5-2015,washington-wizards,charlotte-hornets,51.92%,-108,108,-125,106,17,2,,,,,,,,,,,,
2-5-2015,los-angeles-clippers,cleveland-cavaliers,-50.18%,101,-101,159,-185,58,84,$100,$159.0,$0,,,,,,,$100,$159.0,$0
2-5-2015,dallas-mavericks,sacramento-kings,70.64%,-241,241,-153,131,88,110,$100,$65.359477124183,$165.359477124183,$100,$65.359477124183,$165.359477124183,,,,$100,$65.359477124183,$165.359477124183
2-5-2015,phoenix-suns,portland-trail-blazers,-64.43%,181,-181,172,-204,9,23,,,,,,,,,,,,
,,,,,,,,,,$200,$-34.640522875817,-17.3202614379085%,$100,$65.359477124183,65.359477124183%,$0,$0,0%,$200,$-34.640522875817,-17.3202614379085%
,,,,,,,,,,,,,,,,,,,,,,,,
2-6-2015,golden-state-warriors,atlanta-hawks,-67.34%,206,-206,-129,110,135,116,$100,$110.00000000000001,$210.0,$100,$110.00000000000001,$210.0,$100,$110.00000000000001,$210.0,$100,$110.00000000000001,$210.0
2-6-2015,philadelphia-76ers,boston-celtics,-68.62%,219,-219,316,-400,97,181,$100,$316.0,$0,,,,,,,$100,$316.0,$0
