Year,win-loss,num wins,num games
2003,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",0,0,0
,"""5-5""",0,0,0
,"""6-4""",0,0,0
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2004,"""0-10""",0,0,0
,"""1-9""",3,4,=C15/D15*100
,"""2-8""",3,9,=C16/D16*100
,"""3-7""",2,7,=C17/D17*100
,"""4-6""",7,13,=C18/D18*100
,"""5-5""",10,20,=C19/D19*100
,"""6-4""",4,11,=C20/D20*100
,"""7-3""",1,3,=C21/D21*100
,"""8-2""",2,4,=C22/D22*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2005,"""0-10""",0,0,0
,"""1-9""",2,8,=C27/D27*100
,"""2-8""",3,9,=C28/D28*100
,"""3-7""",4,9,=C29/D29*100
,"""4-6""",8,21,=C30/D30*100
,"""5-5""",4,9,=C31/D31*100
,"""6-4""",3,5,=C32/D32*100
,"""7-3""",3,3,=C33/D33*100
,"""8-2""",2,4,=C34/D34*100
,"""9-1""",2,3,=C35/D35*100
,"""10-0""",0,0,0
,,,
2006,"""0-10""",0,0,0
,"""1-9""",2,2,=C39/D39*100
,"""2-8""",5,10,=C40/D40*100
,"""3-7""",7,19,=C41/D41*100
,"""4-6""",6,18,=C42/D42*100
,"""5-5""",3,10,=C43/D43*100
,"""6-4""",4,7,=C44/D44*100
,"""7-3""",1,5,=C45/D45*100
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2007,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",1,1,=C52/D52*100
,"""3-7""",8,14,=C53/D53*100
,"""4-6""",9,18,=C54/D54*100
,"""5-5""",5,15,=C55/D55*100
,"""6-4""",8,14,=C56/D56*100
,"""7-3""",3,9,=C57/D57*100
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2008,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",1,1,=C65/D65*100
,"""4-6""",4,4,=C66/D66*100
,"""5-5""",3,8,=C67/D67*100
,"""6-4""",20,28,=C68/D68*100
,"""7-3""",11,21,=C69/D69*100
,"""8-2""",4,6,=C70/D70*100
,"""9-1""",0,1,=C71/D71*100
,"""10-0""",0,0,0
