Year,win-loss,num wins,num games
2003,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",0,0,0
,"""5-5""",0,0,0
,"""6-4""",0,0,0
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2004,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",1,2,=C17/D17*100
,"""4-6""",6,10,=C18/D18*100
,"""5-5""",3,7,=C19/D19*100
,"""6-4""",5,8,=C20/D20*100
,"""7-3""",14,16,=C21/D21*100
,"""8-2""",11,17,=C22/D22*100
,"""9-1""",6,8,=C23/D23*100
,"""10-0""",1,3,=C24/D24*100
,,,
2005,"""0-10""",0,0,0
,"""1-9""",1,6,=C27/D27*100
,"""2-8""",1,7,=C28/D28*100
,"""3-7""",1,3,=C29/D29*100
,"""4-6""",5,15,=C30/D30*100
,"""5-5""",12,19,=C31/D31*100
,"""6-4""",9,19,=C32/D32*100
,"""7-3""",0,2,=C33/D33*100
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2006,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",4,5,=C41/D41*100
,"""4-6""",10,17,=C42/D42*100
,"""5-5""",11,18,=C43/D43*100
,"""6-4""",8,19,=C44/D44*100
,"""7-3""",6,9,=C45/D45*100
,"""8-2""",1,3,=C46/D46*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2007,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",1,1,=C52/D52*100
,"""3-7""",6,16,=C53/D53*100
,"""4-6""",5,11,=C54/D54*100
,"""5-5""",3,8,=C55/D55*100
,"""6-4""",12,19,=C56/D56*100
,"""7-3""",7,15,=C57/D57*100
,"""8-2""",0,1,=C58/D58*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2008,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",0,0,0
,"""5-5""",12,14,=C67/D67*100
,"""6-4""",12,18,=C68/D68*100
,"""7-3""",7,14,=C69/D69*100
,"""8-2""",9,13,=C70/D70*100
,"""9-1""",9,11,=C71/D71*100
,"""10-0""",0,1,=C72/D72*100
,,,
2009,"""0-10""",0,0,0
