Year,win-loss,num wins,num games
2003,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",0,0,0
,"""5-5""",0,0,0
,"""6-4""",0,0,0
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2004,"""0-10""",0,0,0
,"""1-9""",3,6,=C15/D15*100
,"""2-8""",3,9,=C16/D16*100
,"""3-7""",5,12,=C17/D17*100
,"""4-6""",9,20,=C18/D18*100
,"""5-5""",4,13,=C19/D19*100
,"""6-4""",1,6,=C20/D20*100
,"""7-3""",2,4,=C21/D21*100
,"""8-2""",0,1,=C22/D22*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2005,"""0-10""",0,0,0
,"""1-9""",1,1,=C27/D27*100
,"""2-8""",3,7,=C28/D28*100
,"""3-7""",8,23,=C29/D29*100
,"""4-6""",7,17,=C30/D30*100
,"""5-5""",8,14,=C31/D31*100
,"""6-4""",1,6,=C32/D32*100
,"""7-3""",1,3,=C33/D33*100
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2006,"""0-10""",1,1,=C38/D38*100
,"""1-9""",2,11,=C39/D39*100
,"""2-8""",3,5,=C40/D40*100
,"""3-7""",5,16,=C41/D41*100
,"""4-6""",7,14,=C42/D42*100
,"""5-5""",4,12,=C43/D43*100
,"""6-4""",4,8,=C44/D44*100
,"""7-3""",0,4,=C45/D45*100
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2007,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",2,2,=C52/D52*100
,"""3-7""",2,4,=C53/D53*100
,"""4-6""",2,2,=C54/D54*100
,"""5-5""",16,26,=C55/D55*100
,"""6-4""",5,12,=C56/D56*100
,"""7-3""",10,13,=C57/D57*100
,"""8-2""",8,11,=C58/D58*100
,"""9-1""",0,1,=C59/D59*100
,"""10-0""",0,0,0
,,,
2008,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",2,3,=C64/D64*100
,"""3-7""",3,7,=C65/D65*100
,"""4-6""",6,12,=C66/D66*100
,"""5-5""",11,19,=C67/D67*100
,"""6-4""",12,24,=C68/D68*100
,"""7-3""",2,6,=C69/D69*100
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
