atl | atlanta-hawks
bos | boston-celtics
bkn | brooklyn-nets
cha | charlotte-hornets
chi | chicago-bulls
cle | cleveland-cavaliers
dal | dallas-mavericks
den | denver-nuggets
det | detroit-pistons
gs | golden-state-warriors
hou | houston-rockets
ind | indiana-pacers
lac | los-angeles-clippers
lal | los-angeles-lakers
mem | memphis-grizzlies
mia | miami-heat
mil | milwaukee-bucks
min | minnesota-timberwolves
no | new-orleans-pelicans
ny | new-york-knicks
okc | oklahoma-city-thunder
orl | orlando-magic
phi | philadelphia-76ers
phx | phoenix-suns
por | portland-trail-blazers
sac | sacramento-kings
sa | san-antonio-spurs
tor | toronto-raptors
utah | utah-jazz
wsh | washington-wizards
