mem,okc,72-99,222,-277
okc,mem,133-123,110,-133
lal,dal,86-122,106,-128
okc,mem,93-101,124,-149
lal,dal,92-98,108,-131
dal,lal,93-81,299,-384
mem,okc,102-111,260,-333
dal,lal,96-94,227,-285
bos,mia,90-99,183,-222
dal,por,103-96,152,-181
lal,no,98-80,-256,204
den,okc,97-100,259,-333
mem,sa,103-110,273,-344
no,lal,90-106,486,-769
ind,chi,89-116,428,-588
okc,den,101-104,127,-153
por,dal,82-93,181,-227
lal,no,88-93,-277,221
bos,ny,101-89,-172,142
mia,phi,82-86,-263,208
okc,den,97-94,185,-227
dal,por,82-84,154,-188
chi,ind,84-89,-217,172
lal,no,100-86,-227,181
orl,atl,84-88,-120,-101
dal,por,92-97,198,-243
mia,phi,100-94,-208,169
no,lal,78-87,823,-1428
mem,sa,87-93,307,-400
por,dal,89-101,160,-192
atl,orl,82-88,442,-625
ind,chi,90-96,748,-1249
den,okc,103-107,220,-270
no,lal,109-100,654,-999
mem,sa,101-98,247,-312
por,dal,81-89,177,-217
phi,mia,89-97,559,-833
ind,chi,99-104,967,-1999
por,gs,86-110,170,-212
mem,lac,103-110,269,-344
sa,phx,103-106,-161,131
lal,sac,116-108,-175,145
ny,bos,102-112,0,0
atl,cha,85-96,102,-125
bkn,chi,92-97,982,-1999
wsh,cle,93-100,179,-222
no,dal,89-121,505,-769
hou,min,121-102,0,0
mil,okc,110-106,386,-526
ind,orl,74-92,0,0
det,phi,104-100,164,-204
mia,tor,97-79,150,-185
den,utah,103-107,181,-232
sa,lal,93-102,558,-769
mem,por,89-102,217,-270
chi,ny,103-90,-277,227
min,phx,127-135,376,-500
okc,sac,120-112,-263,214
gs,den,111-134,761,-1249
dal,hou,98-91,-161,134
tor,mil,86-93,415,-555
utah,no,90-78,254,-322
cle,det,110-101,247,-312
mia,atl,98-90,-285,229
cha,bkn,105-103,110,-133
orl,phi,95-85,110,-133
bos,wsh,94-95,-125,104
okc,lal,120-106,189,-232
sac,gs,104-103,202,-250
phx,dal,90-115,426,-588
ny,ind,110-109,119,-142
det,cha,112-101,-109,-111
no,mem,89-111,156,-188
bkn,tor,92-99,212,-263
bos,mia,77-100,223,-277
chi,orl,102-99,-270,214
min,den,106-130,934,-1666
lac,hou,78-99,303,-384
cle,mil,101-108,359,-476
utah,sa,102-111,473,-714
atl,wsh,83-115,0,0
lal,por,86-93,0,0
lac,dal,96-107,342,-454
sac,mem,96-101,413,-555
phx,no,97-109,200,-250
den,okc,89-104,160,-196
wsh,bos,88-104,982,-1999
chi,cle,93-82,-588,419
mil,det,100-110,-116,-105
cha,mia,103-112,1065,-1999
ny,bkn,116-93,-196,162
atl,ind,102-114,200,-250
tor,phi,93-98,584,-909
por,utah,98-87,-222,183
bos,chi,81-97,0,0
lal,gs,87-95,-263,211
den,dal,104-96,154,-188
sac,sa,92-124,551,-833
mil,mia,90-85,415,-588
phx,min,108-98,-200,166
hou,no,93-101,124,-147
lac,okc,108-112,0,0
bkn,det,109-116,257,-322
orl,cha,111-102,-285,229
wsh,ind,112-136,598,-909
ny,phi,97-92,175,-217
cle,tor,104-96,169,-208
utah,lal,86-85,1082,-2499
gs,por,108-87,515,-769
okc,den,101-94,158,-192
sac,hou,104-101,361,-476
phx,chi,94-97,0,0
lac,mem,82-81,388,-526
phi,bos,82-99,218,-270
tor,ny,118-131,403,-555
sa,atl,97-90,-227,184
min,bkn,105-107,188,-232
cha,cle,89-99,-113,-108
mil,orl,72-78,309,-400
det,wsh,105-107,-113,-108
dal,por,96-104,158,-192
atl,hou,109-114,215,-263
ind,no,96-108,164,-200
det,bos,90-101,562,-833
mia,bkn,108-94,-833,554
wsh,cha,97-91,340,-454
cle,ny,107-123,818,-1428
utah,sac,97-106,216,-270
orl,tor,98-102,-625,446
den,lal,95-90,241,-303
phx,sa,97-114,572,-833
dal,gs,92-99,-243,198
okc,lac,92-98,-208,169
phi,mil,87-93,-125,102
tor,chi,106-113,1225,-2499
min,mem,89-106,1063,-1999
lal,utah,96-85,-476,355
lac,phx,98-111,181,-222
okc,por,91-98,135,-161
den,sac,99-90,-208,173
sa,hou,114-119,110,-133
bos,atl,83-88,-121,100
mia,min,111-92,-999,643
mem,no,93-81,-112,-108
chi,det,101-96,-434,334
mil,ind,88-89,134,-161
cha,orl,77-89,710,-1111
bkn,phi,90-115,484,-714
cle,wsh,107-115,121,-144
dal,lal,82-110,234,-294
bos,sa,107-97,100,-123
dal,lac,106-100,-227,181
okc,phx,116-98,-158,131
sac,den,90-104,902,-1666
gs,mem,91-110,519,-769
chi,min,108-91,-625,437
por,no,91-95,-133,110
bkn,ny,116-120,326,-434
orl,atl,82-85,-156,129
cle,cha,97-98,425,-588
det,ind,101-111,240,-303
hou,phi,97-108,125,-151
mil,tor,104-98,-192,159
mia,wsh,123-107,-1249,739
phx,sac,113-116,-126,102
gs,okc,114-115,578,-909
hou,bkn,112-87,-322,256
mia,cle,90-102,-2499,1090
wsh,utah,100-95,674,-1111
por,sa,100-92,-117,100
phi,chi,97-85,518,-769
orl,ny,106-113,-133,110
mil,cha,86-87,-117,-104
bos,ind,100-107,-129,106
dal,phx,91-83,-147,120
no,lal,84-102,405,-555
wsh,gs,104-114,656,-999
por,okc,90-99,163,-200
bos,min,85-82,-476,368
atl,cle,99-83,-208,170
sa,mem,104-111,-101,-120
hou,mia,119-125,304,-384
sac,phi,114-111,384,-500
tor,lac,90-94,655,-999
dal,utah,94-77,-285,231
ind,det,88-100,108,-131
bkn,atl,87-98,440,-625
ny,cha,106-114,-200,167
tor,gs,100-138,265,-333
lac,lal,104-112,443,-625
no,phx,106-100,206,-250
sa,por,96-98,150,-181
wsh,den,94-114,1555,-4999
mem,chi,96-99,380,-500
min,okc,103-111,1500,-4999
cha,bos,83-81,928,-1666
det,cle,91-97,-196,162
phi,mia,99-111,316,-416
mil,ny,102-96,256,-322
sac,ind,110-93,229,-285
bkn,orl,85-95,927,-1666
no,utah,121-117,-196,162
min,dal,96-104,1440,-3333
sa,den,112-115,174,-212
wsh,lac,119-127,936,-1666
tor,phx,106-114,283,-357
gs,hou,112-131,341,-454
sac,mil,97-90,366,-476
orl,ny,111-99,-116,-105
utah,okc,94-106,597,-909
mem,bos,90-87,229,-285
mia,det,100-94,-500,370
ind,cha,111-88,104,-125
bkn,cle,98-94,-136,114
atl,phi,100-105,250,-312
phx,lal,137-139,261,-322
wsh,por,76-111,1325,-4999
chi,atl,114-81,-188,156
tor,den,90-123,734,-1249
gs,sa,96-111,600,-909
sac,chi,92-132,1425,-3333
utah,mem,85-103,305,-400
