3-5-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,lac,-59.14,lac,atl,-59.14,,107-97
,bos,cle,-63.47,cle,cle,,-63.47,103-120
,bkn,min,50.11,bkn,min,50.11,,118-132
,hou,chi,-58.57,chi,chi,,-58.57,100-108
,det,ny,57.98,det,ny,57.98,,89-102
,ind,wsh,-58.57,wsh,ind,-58.57,,100-99
,utah,no,-61.69,no,utah,-61.69,,106-94
,sac,sa,-81.32,sa,sa,,-81.32,94-104
,,,,,,,,
3-4-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,lal,77.43,atl,atl,,77.43,106-77
,ny,bos,-80.14,bos,bos,,-80.14,104-105
,bkn,den,-59.3,den,bkn,-59.3,,121-120
,ind,cha,-59.5,cha,cha,,-59.5,101-108
,wsh,cle,-67.84,cle,cle,,-67.84,83-108
,utah,mem,-64.96,mem,mem,,-64.96,88-94
,mia,phi,78.94,mia,mia,,78.94,112-102
,min,mil,-61.23,mil,mil,,-61.23,101-116
,phx,orl,-68.69,orl,phx,-68.69,,102-84
,por,tor,-59.89,tor,tor,,-59.89,115-117
,,,,,,,,
3-3-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,sac,dal,-62.07,dal,sac,-62.07,,104-101
,okc,gs,-64.96,gs,gs,,-64.96,106-121
,phx,mia,-71.89,mia,mia,,-71.89,92-108
,sa,no,84.34,sa,sa,,84.34,94-86
,,,,,,,,
3-2-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,por,bos,-56.56,bos,bos,,-56.56,93-116
,cha,phi,73.67,cha,cha,,73.67,119-99
,chi,orl,-55.5,orl,orl,,-55.5,89-102
,lal,den,-65.53,den,den,,-65.53,107-117
,det,sa,-77.01,sa,sa,,-77.01,81-97
,no,hou,-61.66,hou,hou,,-61.66,95-100
,ind,mil,-62.51,mil,ind,-62.51,,104-99
,okc,lac,-50.28,lac,lac,,-50.28,98-103
,sac,mem,-63.73,mem,mem,,-63.73,98-104
,wsh,min,63.64,wsh,wsh,,63.64,104-98
,utah,tor,-80.38,tor,tor,,-80.38,94-104
,,,,,,,,
3-1-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,gs,-58.51,gs,gs,,-58.51,105-109
,bkn,lal,56.75,bkn,lal,56.75,,101-107
,phx,cha,-72.63,cha,cha,,-72.63,92-126
,chi,mia,-58.48,mia,mia,,-58.48,111-129
,orl,dal,-59.2,dal,dal,,-59.2,108-121
