3-5-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,lac,-59.14,lac,atl,107-97,-59.14,,+144.73813020068528,-144.73813020068528
,bos,cle,-63.47,cle,cle,103-120,,-63.47,+173.74760470845877,-173.74760470845877
,bkn,min,50.11,bkn,min,118-132,50.11,,-100.44097013429543,+100.44097013429543
,hou,chi,-58.57,chi,chi,100-108,,-58.57,+141.3709872073377,-141.3709872073377
,det,ny,57.98,det,ny,89-102,57.98,,-137.9819133745835,+137.9819133745835
,ind,wsh,-58.57,wsh,ind,100-99,-58.57,,+141.3709872073377,-141.3709872073377
,utah,no,-61.69,no,utah,106-94,-61.69,,+161.02845210127902,-161.02845210127902
,sac,sa,-81.32,sa,sa,94-104,,-81.32,+435.33190578158434,-435.33190578158434
,,,,,,,,
3-4-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,lal,77.43,atl,atl,106-77,,77.43,-343.06601683650877,+343.06601683650877
,ny,bos,-80.14,bos,bos,104-105,,-80.14,+403.5246727089627,-403.5246727089627
,bkn,den,-59.3,den,bkn,121-120,-59.3,,+145.7002457002457,-145.7002457002457
,ind,cha,-59.5,cha,cha,101-108,,-59.5,+146.91358024691357,-146.91358024691357
,wsh,cle,-67.84,cle,cle,83-108,,-67.84,+210.94527363184082,-210.94527363184082
,utah,mem,-64.96,mem,mem,88-94,,-64.96,+185.38812785388123,-185.38812785388123
,mia,phi,78.94,mia,mia,112-102,,78.94,-374.8338081671415,+374.8338081671415
,min,mil,-61.23,mil,mil,101-116,,-61.23,+157.93139025019346,-157.93139025019346
,phx,orl,-68.69,orl,phx,102-84,-68.69,,+219.38677738741612,-219.38677738741612
,por,tor,-59.89,tor,tor,115-117,,-59.89,+149.31438544003987,-149.31438544003987
,,,,,,,,
3-3-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,sac,dal,-62.07,dal,sac,104-101,-62.07,,+163.6435539151068,-163.6435539151068
,okc,gs,-64.96,gs,gs,106-121,,-64.96,+185.38812785388123,-185.38812785388123
,phx,mia,-71.89,mia,mia,92-108,,-71.89,+255.74528637495555,-255.74528637495555
,sa,no,84.34,sa,sa,94-86,,84.34,-538.5696040868456,+538.5696040868456
,,,,,,,,
3-2-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,por,bos,-56.56,bos,bos,93-116,,-56.56,+130.20257826887664,-130.20257826887664
,cha,phi,73.67,cha,cha,119-99,,73.67,-279.794910748196,+279.794910748196
,chi,orl,-55.5,orl,orl,89-102,,-55.5,+124.71910112359552,-124.71910112359552
,lal,den,-65.53,den,den,107-117,,-65.53,+190.1073397156948,-190.1073397156948
,det,sa,-77.01,sa,sa,81-97,,-77.01,+334.9717268377557,-334.9717268377557
,no,hou,-61.66,hou,hou,95-100,,-61.66,+160.82420448617628,-160.82420448617628
,ind,mil,-62.51,mil,ind,104-99,-62.51,,+166.73779674579885,-166.73779674579885
,okc,lac,-50.28,lac,lac,98-103,,-50.28,+101.12630732099758,-101.12630732099758
,sac,mem,-63.73,mem,mem,98-104,,-63.73,+175.70995312930796,-175.70995312930796
,wsh,min,63.64,wsh,wsh,104-98,,63.64,-175.027502750275,+175.027502750275
,utah,tor,-80.38,tor,tor,94-104,,-80.38,+409.6839959225279,-409.6839959225279
,,,,,,,,
3-1-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,gs,-58.51,gs,gs,105-109,,-58.51,+141.0219329959026,-141.0219329959026
,bkn,lal,56.75,bkn,lal,101-107,56.75,,-131.21387283236996,+131.21387283236996
,phx,cha,-72.63,cha,cha,92-126,,-72.63,+265.3635367190354,-265.3635367190354
,chi,mia,-58.48,mia,mia,111-129,,-58.48,+140.84778420038532,-140.84778420038532
,orl,dal,-59.2,dal,dal,108-121,,-59.2,+145.0980392156863,-145.0980392156863
,por,ny,68.58,por,por,104-85,,68.58,-218.26861871419476,+218.26861871419476
,,,,,,,,
2-29-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,utah,bos,-74.53,bos,bos,95-100,,-74.53,+292.61876717707105,-292.61876717707105
,bkn,lac,-72.73,lac,lac,95-105,,-72.73,+266.7033370003668,-266.7033370003668
,ind,cle,-66.78,cle,cle,96-100,,-66.78,+201.02347983142687,-201.02347983142687
,mem,den,60.84,mem,mem,103-96,,60.84,-155.36261491317674,+155.36261491317674
,hou,mil,-54.32,mil,mil,121-128,,-54.32,+118.91418563922942,-118.91418563922942
,okc,sac,71.46,okc,okc,131-116,,71.46,-250.38542396636294,+250.38542396636294
,phi,wsh,-71.45,wsh,wsh,108-116,,-71.45,+250.2626970227671,-250.2626970227671
,,,,,,,,
2-28-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,cha,atl,-58.14,atl,atl,76-87,,-58.14,+138.89154323936933,-138.89154323936933
,cle,wsh,65.27,cle,wsh,99-113,65.27,,-187.93550244745174,+187.93550244745174
,min,dal,-62.47,dal,dal,101-128,,-62.47,+166.4535038635758,-166.4535038635758
,tor,det,59.56,tor,det,101-114,59.56,,-147.27992087042531,+147.27992087042531
,por,ind,-57.93,ind,por,111-102,-57.93,,+137.6990729736154,-137.6990729736154
,mia,ny,63.71,mia,mia,98-81,,63.71,-175.5580049600441,+175.5580049600441
,phi,orl,-71.42,orl,orl,116-130,,-71.42,+249.89503149055287,-249.89503149055287
,,,,,,,,
2-27-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mia,bos,-59.93,bos,bos,89-101,,-59.93,+149.56326428749688,-149.56326428749688
,bkn,utah,-69.89,utah,bkn,98-96,-69.89,,+232.11557622052476,-232.11557622052476
,por,chi,-58.49,chi,por,103-95,-58.49,,+140.9058058299205,-140.9058058299205
,det,mil,-62.51,mil,det,102-91,-62.51,,+166.73779674579885,-166.73779674579885
,gs,okc,61.53,gs,gs,121-118,,61.53,-159.94281258123215,+159.94281258123215
,sa,hou,78.78,sa,sa,104-94,,78.78,-371.25353440150803,+371.25353440150803
,mem,phx,69.78,mem,phx,106-111,69.78,,-230.9066843150232,+230.9066843150232
,min,no,-73.43,no,min,112-110,-73.43,,+276.3643206624013,-276.3643206624013
,,,,,,,,
2-26-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,chi,atl,-58.54,atl,atl,88-103,,-58.54,+141.196333815726,-141.196333815726
,cha,ind,-60.71,ind,cha,96-95,-60.71,,+154.5176889793841,-154.5176889793841
,cle,tor,-54.37,tor,tor,97-99,,-54.37,+119.15406530791147,-119.15406530791147
,den,dal,-55.42,dal,dal,116-122,,-55.42,+124.31583669807091,-124.31583669807091
,lac,sac,64.12,lac,lac,117-107,,64.12,-178.7068004459309,+178.7068004459309
,mem,lal,72.0,mem,mem,112-95,,72.0,-257.14285714285717,+257.14285714285717
,orl,ny,51.11,orl,ny,95-108,51.11,,-104.54080589077522,+104.54080589077522
,wsh,phi,71.73,wsh,wsh,103-94,,71.73,-253.73187124159892,+253.73187124159892
,,,,,,,,
2-25-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mil,bos,-70.36,bos,bos,107-112,,-70.36,+237.38191632928473,-237.38191632928473
,bkn,phx,-54.77,phx,bkn,116-106,-54.77,,+121.09219544550078,-121.09219544550078
,gs,orl,78.68,gs,gs,130-114,,78.68,-369.0431519699814,+369.0431519699814
,hou,por,-68.58,por,hou,119-105,-68.58,,+218.26861871419476,-218.26861871419476
,okc,no,74.23,okc,no,119-123,74.23,,-288.0481179666279,+288.0481179666279
,sa,utah,75.58,sa,sa,96-78,,75.58,-309.5004095004095,+309.5004095004095
,,,,,,,,
2-24-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,cha,cle,-68.5,cle,cle,103-114,,-68.5,+217.46031746031744,-217.46031746031744
,wsh,chi,-55.52,chi,chi,104-109,,-55.52,+124.8201438848921,-124.8201438848921
,okc,dal,66.58,okc,okc,116-103,,66.58,-199.22202274087374,+199.22202274087374
,den,lac,-67.09,lac,den,87-81,-67.09,,+203.8590094196293,-203.8590094196293
,phi,det,-74.87,det,det,91-111,,-74.87,+297.93076004775173,-297.93076004775173
,gs,mia,75.04,gs,gs,118-112,,75.04,-300.64102564102575,+300.64102564102575
,ny,ind,-63.79,ind,ind,105-108,,-63.79,+176.16680475006902,-176.16680475006902
,lal,mem,-75.17,mem,mem,119-128,,-75.17,+302.73862263391067,-302.73862263391067
,min,tor,-82.12,tor,tor,105-114,,-82.12,+459.28411633109636,-459.28411633109636
,sa,sac,80.51,sa,sa,108-92,,80.51,-413.0836326321192,+413.0836326321192
,,,,,,,,
2-23-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bkn,por,-69.81,por,por,104-112,,-69.81,+231.23550844650552,-231.23550844650552
,sac,den,-55.92,den,sac,114-110,-55.92,,+126.86025408348458,-126.86025408348458
,hou,utah,-59.29,utah,utah,114-117,,-59.29,+145.63989191844757,-145.63989191844757
,no,wsh,-57.21,wsh,wsh,89-109,,-57.21,+133.69946249123626,-133.69946249123626
,orl,phi,71.45,orl,orl,124-115,,71.45,-250.2626970227671,+250.2626970227671
,,,,,,,,
2-22-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,gs,atl,71.69,gs,gs,102-92,,71.69,-253.23207347227122,+253.23207347227122
,bos,min,68.91,bos,min,122-124,68.91,,-221.64683177870694,+221.64683177870694
,det,cle,-69.81,cle,det,96-88,-69.81,,+231.23550844650552,-231.23550844650552
,ind,mia,-55.04,mia,mia,93-101,,-55.04,+122.41992882562278,-122.41992882562278
,phx,lac,-74.04,lac,lac,84-124,,-74.04,+285.2080123266565,-285.2080123266565
,lal,mil,-70.09,mil,mil,101-108,,-70.09,+234.33634236041462,-234.33634236041462
,tor,ny,63.81,tor,tor,122-95,,63.81,-176.31942525559546,+176.31942525559546
,,,,,,,,
2-21-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,den,64.44,bos,bos,121-101,,64.44,-181.21484814398195,+181.21484814398195
,cha,bkn,68.5,cha,cha,104-96,,68.5,-217.46031746031744,+217.46031746031744
,lal,chi,-73.12,chi,chi,115-126,,-73.12,+272.0238095238096,-272.0238095238096
,cle,okc,-57.64,okc,cle,115-92,-57.64,,+136.07176581680832,-136.07176581680832
,phi,dal,-72.5,dal,dal,103-129,,-72.5,+263.6363636363636,-263.6363636363636
,no,det,-60.92,det,no,111-106,-60.92,,+155.88536335721597,-155.88536335721597
,ind,orl,-51.92,orl,ind,105-102,-51.92,,+107.98668885191347,-107.98668885191347
,mem,tor,-55.22,tor,tor,85-98,,-55.22,+123.31397945511387,-123.31397945511387
,sa,phx,89.68,sa,sa,118-111,,89.68,-868.9922480620162,+868.9922480620162
,utah,por,-59.07,por,por,111-115,,-59.07,+144.31956999755678,-144.31956999755678
,,,,,,,,
2-20-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mil,atl,-70.09,atl,mil,117-109,-70.09,,+234.33634236041462,-234.33634236041462
,gs,lac,67.0,gs,gs,115-112,,67.0,-203.03030303030303,+203.03030303030303
,wsh,mia,-57.51,mia,mia,94-114,,-57.51,+135.3494939985879,-135.3494939985879
,ny,min,55.23,ny,ny,103-95,,55.23,-123.36385972749606,+123.36385972749606
,,,,,,,,
2-19-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mia,atl,-57.61,atl,mia,115-111,-57.61,,+135.90469450342061,-135.90469450342061
,bos,utah,50.6,bos,utah,93-111,50.6,,-102.42914979757086,+102.42914979757086
,ny,bkn,52.55,ny,bkn,98-109,52.55,,-110.7481559536354,+110.7481559536354
,cha,mil,-56.24,mil,cha,98-95,-56.24,,+128.51919561243145,-128.51919561243145
,tor,chi,60.06,tor,chi,106-116,60.06,,-150.37556334501753,+150.37556334501753
,dal,orl,52.44,dal,orl,104-110,52.44,,-110.26072329688814,+110.26072329688814
,den,sac,-54.06,sac,sac,110-116,,-54.06,+117.67522855899001,-117.67522855899001
,det,wsh,-51.91,wsh,wsh,86-98,,-51.91,+107.9434393844874,-107.9434393844874
,gs,por,77.78,gs,por,105-137,77.78,,-350.04500450045003,+350.04500450045003
,hou,phx,61.64,hou,hou,116-100,,61.64,-160.68821689259644,+160.68821689259644
,ind,okc,-69.46,okc,ind,101-98,-69.46,,+227.43942370661424,-227.43942370661424
,sa,lal,93.24,sa,sa,119-113,,93.24,-1379.2899408284013,+1379.2899408284013
,min,mem,-75.59,mem,mem,104-109,,-75.59,+309.6681687832856,-309.6681687832856
,phi,no,-69.54,no,no,114-121,,-69.54,+228.29940906106376,-228.29940906106376
,,,,,,,,
2-18-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,chi,cle,-68.56,cle,cle,95-106,,-68.56,+218.0661577608143,-218.0661577608143
,sa,lac,68.06,sa,lac,86-105,68.06,,-213.0870381966187,+213.0870381966187
,utah,wsh,59.15,utah,wsh,89-103,59.15,,-144.79804161566707,+144.79804161566707
,,,,,,,,
2-11-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,wsh,mil,-52.19,mil,mil,92-99,,-52.19,+109.16126333403051,-109.16126333403051
,no,okc,-76.32,okc,okc,95-121,,-76.32,+322.2972972972972,-322.2972972972972
,,,,,,,,
2-10-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,chi,-54.64,chi,atl,113-90,-54.64,,+120.45855379188714,-120.45855379188714
,lac,bos,56.4,lac,bos,134-139,56.4,,-129.3577981651376,+129.3577981651376
,mem,bkn,66.33,mem,mem,109-90,,66.33,-197.000297000297,+197.000297000297
,cha,ind,-61.02,ind,cha,117-95,-61.02,,+156.54181631605954,-156.54181631605954
,lal,cle,-81.8,cle,cle,111-120,,-81.8,+449.4505494505494,-449.4505494505494
,den,det,-56.39,det,den,103-92,-56.39,,+129.30520522815868,-129.30520522815868
,gs,phx,90.52,gs,gs,112-104,,90.52,-954.8523206751051,+954.8523206751051
,hou,por,-56.0,por,por,103-116,,-56.0,+127.2727272727273,-127.2727272727273
,tor,min,74.21,tor,min,112-117,74.21,,-287.74718883288085,+287.74718883288085
,utah,no,50.41,utah,no,96-100,50.41,,-101.6535591853196,+101.6535591853196
,sa,orl,80.09,sa,sa,98-96,,80.09,-402.2601707684581,+402.2601707684581
,sac,phi,68.28,sac,sac,114-110,,68.28,-215.25851197982345,+215.25851197982345
,,,,,,,,
2-9-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,mil,68.37,bos,mil,111-112,68.37,,-216.15554852987674,+216.15554852987674
,utah,dal,-56.77,dal,utah,121-119,-56.77,,+131.3208420078649,-131.3208420078649
,hou,gs,-81.38,gs,gs,110-123,,-81.38,+437.0569280343715,-437.0569280343715
,sa,mia,75.97,sa,sa,119-101,,75.97,-316.1464835622139,+316.1464835622139
,wsh,ny,55.16,wsh,wsh,111-108,,55.16,-123.01516503122212,+123.01516503122212
,,,,,,,,
2-8-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,orl,atl,-76.34,atl,orl,117-110,-76.34,,+322.65426880811503,-322.65426880811503
,den,bkn,59.54,den,bkn,104-105,59.54,,-147.15768660405337,+147.15768660405337
,chi,cha,-57.92,cha,cha,91-108,,-57.92,+137.6425855513308,-137.6425855513308
,sac,cle,-70.62,cle,cle,100-120,,-70.62,+240.36759700476523,-240.36759700476523
,tor,det,57.97,tor,tor,103-89,,57.97,-137.92529145848204,+137.92529145848204
,lal,ind,-75.62,ind,ind,87-89,,-75.62,+310.17227235438895,-310.17227235438895
,lac,phi,82.6,lac,lac,98-92,,82.6,-474.7126436781607,+474.7126436781607
,por,mem,-60.41,mem,por,112-106,-60.41,,+152.5890376357666,-152.5890376357666
,no,min,-53.59,min,no,116-102,-53.59,,+115.47080370609785,-115.47080370609785
,okc,phx,80.82,okc,okc,122-106,,80.82,-421.3764337851927,+421.3764337851927
,,,,,,,,
2-7-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,orl,58.63,atl,orl,94-96,58.63,,-141.72105390379502,+141.72105390379502
,sac,bos,-63.02,bos,bos,119-128,,-63.02,+170.41644131963224,-170.41644131963224
,den,ny,-55.06,ny,den,101-96,-55.06,,+122.51891410769917,-122.51891410769917
,lac,mia,58.88,lac,lac,100-93,,58.88,-143.19066147859925,+143.19066147859925
,,,,,,,,
2-6-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bkn,phi,52.2,bkn,phi,98-103,52.2,,-109.20502092050208,+109.20502092050208
,wsh,cha,-56.92,cha,cha,104-108,,-56.92,+132.12627669452183,-132.12627669452183
,chi,min,65.05,chi,min,105-112,65.05,,-186.12303290414877,+186.12303290414877
,no,cle,-72.96,cle,cle,84-99,,-72.96,+269.8224852071005,-269.8224852071005
,dal,mem,-69.78,mem,dal,114-110,-69.78,,+230.9066843150232,-230.9066843150232
,det,ind,-58.56,ind,ind,104-112,,-58.56,+141.31274131274134,-141.31274131274134
,okc,gs,-63.77,gs,gs,108-116,,-63.77,+176.01435274634284,-176.01435274634284
,por,hou,-57.27,hou,por,96-79,-57.27,,+134.02761525860055,-134.02761525860055
,lal,sa,-95.86,sa,sa,102-106,,-95.86,+2315.4589371980674,-2315.4589371980674
,utah,phx,65.95,utah,utah,98-89,,65.95,-193.68575624082234,+193.68575624082234
,,,,,,,,
2-5-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ind,atl,-57.83,atl,atl,96-102,,-57.83,+137.13540431586435,-137.13540431586435
,bos,cle,-58.79,cle,bos,104-103,-58.79,,+142.6595486532395,-142.6595486532395
,sac,bkn,61.25,sac,bkn,119-128,61.25,,-158.06451612903226,+158.06451612903226
,mia,cha,-56.65,cha,mia,98-95,-56.65,,+130.6805074971165,-130.6805074971165
,chi,den,59.42,chi,den,110-115,59.42,,-146.4268112370626,+146.4268112370626
,sa,dal,76.78,sa,sa,116-90,,76.78,-330.66322136089576,+330.66322136089576
,lac,orl,65.14,lac,lac,107-93,,65.14,-186.86173264486516,+186.86173264486516
,mem,ny,52.05,mem,mem,91-85,,52.05,-108.55057351407713,+108.55057351407713
,mil,utah,-68.35,utah,utah,81-84,,-68.35,+215.95576619273297,-215.95576619273297
,phi,wsh,-69.23,wsh,wsh,94-106,,-69.23,+224.99187520311997,-224.99187520311997
,,,,,,,,
2-4-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ny,det,-61.59,det,det,105-111,,-61.59,+160.3488674824265,-160.3488674824265
,hou,phx,61.33,hou,hou,111-105,,61.33,-158.5983966899405,+158.5983966899405
,lal,no,-68.69,no,lal,99-96,-68.69,,+219.38677738741612,-219.38677738741612
,tor,por,59.85,tor,tor,110-103,,59.85,-149.06600249066005,+149.06600249066005
,,,,,,,,
2-3-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,phi,76.77,atl,atl,124-86,,76.77,-330.4778303917348,+330.4778303917348
,det,bos,-57.25,bos,bos,95-102,,-57.25,+133.91812865497076,-133.91812865497076
,ind,bkn,70.91,ind,ind,114-100,,70.91,-243.7607425232038,+243.7607425232038
,cle,cha,62.56,cle,cha,97-106,62.56,,-167.09401709401712,+167.09401709401712
,chi,sac,52.3,chi,chi,107-102,,52.3,-109.64360587002093,+109.64360587002093
