orl,lal,98-107,-169,141
wsh,por,109-116,198,-238
ny,den,94-110,-104,-113
atl,utah,91-84,116,-136
sa,min,116-91,-588,434
bkn,tor,99-104,671,-999
orl,gs,113-119,1208,-2499
lac,dal,109-90,-222,184
mil,chi,90-100,190,-227
sac,no,112-115,-125,106
min,cha,103-108,413,-555
mem,cle,106-103,1211,-2499
sa,ind,91-99,-277,229
hou,tor,113-107,281,-344
por,det,103-123,-120,104
phi,mia,98-103,1098,-1999
dal,den,114-116,-172,147
phx,mem,109-100,411,-526
gs,lal,95-112,-4999,1952
okc,mil,104-96,-357,287
atl,lac,107-97,191,-227
hou,chi,100-108,104,-121
sac,sa,94-104,591,-833
bkn,min,118-132,383,-476
bos,cle,103-120,290,-357
utah,no,106-94,-103,-113
det,ny,89-102,-285,233
ind,wsh,100-99,116,-136
atl,lal,106-77,-714,534
bkn,den,121-120,191,-227
wsh,cle,83-108,315,-384
utah,mem,88-94,-112,-104
min,mil,101-116,177,-212
ny,bos,104-105,438,-588
por,tor,115-117,202,-243
ind,cha,101-108,136,-158
phx,orl,102-84,750,-1111
mia,phi,112-102,-526,408
okc,gs,106-121,283,-344
sac,dal,104-101,233,-285
sa,no,94-86,-500,396
phx,mia,92-108,953,-1666
okc,lac,98-103,-116,-101
lal,den,107-117,318,-400
no,hou,95-100,199,-238
sac,mem,98-104,137,-158
ind,mil,104-99,-151,129
wsh,min,104-98,-153,131
det,sa,81-97,543,-769
por,bos,93-116,206,-250
utah,tor,94-104,185,-222
chi,orl,89-102,160,-188
cha,phi,119-99,-555,434
atl,gs,105-109,202,-243
bkn,lal,101-107,-108,-107
orl,dal,108-121,170,-200
chi,mia,111-129,210,-256
por,ny,104-85,-188,159
phx,cha,92-126,766,-1249
bkn,lac,95-105,713,-1111
okc,sac,131-116,-434,347
mem,den,103-96,-119,100
hou,mil,121-128,-151,129
utah,bos,95-100,171,-204
ind,cle,96-100,305,-384
phi,wsh,108-116,811,-1249
mia,ny,98-81,-129,112
min,dal,101-128,268,-322
tor,det,101-114,102,-120
por,ind,111-102,199,-238
phi,orl,116-130,386,-500
cha,atl,76-87,163,-192
cle,wsh,99-113,-147,127
mem,phx,106-111,-294,240
bkn,utah,98-96,634,-909
det,mil,102-91,-103,-112
gs,okc,121-118,-163,139
por,chi,103-95,-188,159
sa,hou,104-94,-238,196
min,no,112-110,121,-140
mia,bos,89-101,188,-227
mem,lal,112-95,-208,177
lac,sac,117-107,-200,171
den,dal,116-122,200,-238
chi,atl,88-103,269,-322
orl,ny,95-108,119,-138
cle,tor,97-99,-142,122
cha,ind,96-95,143,-169
wsh,phi,103-94,-357,293
hou,por,119-105,150,-178
sa,utah,96-78,-153,131
bkn,phx,116-106,102,-119
okc,no,119-123,-243,202
mil,bos,107-112,278,-333
gs,orl,130-114,-370,303
den,lac,87-81,515,-714
sa,sac,108-92,-384,298
okc,dal,116-103,-208,177
wsh,chi,104-109,-112,-103
lal,mem,119-128,336,-416
phi,det,91-111,633,-909
gs,mia,118-112,-454,355
min,tor,105-114,387,-500
cha,cle,103-114,338,-434
ny,ind,105-108,216,-263
bkn,por,104-112,585,-833
sac,den,114-110,116,-135
hou,utah,114-117,156,-185
orl,phi,124-115,-227,192
no,wsh,89-109,164,-192
phx,lac,84-124,1385,-3333
gs,atl,102-92,-277,231
lal,mil,101-108,380,-500
bos,min,122-124,-192,164
ind,mia,93-101,110,-128
tor,ny,122-95,-158,135
det,cle,96-88,403,-526
utah,por,111-115,127,-149
lal,chi,115-126,252,-312
phi,dal,103-129,380,-500
cha,bkn,104-96,-303,250
ind,orl,105-102,-121,104
mem,tor,85-98,283,-357
bos,den,121-101,-156,134
sa,phx,118-111,-2499,1216
no,det,111-106,175,-208
cle,okc,115-92,134,-156
gs,lac,115-112,-181,154
ny,min,103-95,121,-140
mil,atl,117-109,312,-400
wsh,mia,94-114,-117,100
sa,lal,119-113,-625,476
bos,utah,93-111,-108,-107
gs,por,105-137,-384,316
den,sac,110-116,146,-172
hou,phx,116-100,-370,295
mia,atl,115-111,463,-625
tor,chi,106-116,-312,260
min,mem,104-109,166,-196
cha,mil,98-95,-119,102
phi,no,114-121,347,-434
ind,okc,101-98,305,-384
ny,bkn,98-109,-196,167
dal,orl,104-110,100,-119
det,wsh,86-98,112,-131
sa,lac,86-105,-128,108
chi,cle,95-106,735,-1111
utah,wsh,89-103,-131,112
wsh,mil,92-99,102,-120
no,okc,95-121,651,-909
hou,por,103-116,160,-188
gs,phx,112-104,-3333,1490
atl,chi,113-90,-175,149
lal,cle,111-120,1548,-3333
tor,min,112-117,-250,211
utah,no,96-100,104,-121
lac,bos,134-139,106,-123
mem,bkn,109-90,-178,152
den,det,103-92,177,-212
cha,ind,117-95,137,-161
sa,orl,98-96,-400,321
sac,phi,114-110,-208,175
hou,gs,110-123,1008,-1666
utah,dal,121-119,102,-120
sa,mia,119-101,-277,227
bos,mil,111-112,-181,154
wsh,ny,111-108,-119,102
okc,phx,122-106,-1249,800
orl,atl,117-110,322,-400
por,mem,112-106,129,-149
no,min,116-102,112,-129
den,bkn,104-105,-138,119
tor,det,103-89,-121,106
chi,cha,91-108,269,-322
sac,cle,100-120,649,-909
lal,ind,87-89,713,-999
lac,phi,98-92,-434,355
lac,mia,100-93,-109,-106
sac,bos,119-128,294,-370
den,ny,101-96,146,-169
atl,orl,94-96,-156,135
okc,gs,108-116,273,-333
utah,phx,98-89,-285,235
lal,sa,102-106,1548,-3333
dal,mem,114-110,179,-212
chi,min,105-112,133,-153
no,cle,84-99,437,-555
bkn,phi,98-103,-109,-105
wsh,cha,104-108,181,-212
det,ind,104-112,152,-178
por,hou,96-79,166,-192
sa,dal,116-90,-270,229
chi,den,110-115,119,-138
mil,utah,81-84,254,-312
sac,bkn,119-128,-217,183
bos,cle,104-103,241,-294
mem,ny,91-85,-208,177
lac,orl,107-93,-156,136
ind,atl,96-102,179,-212
mia,cha,98-95,145,-169
phi,wsh,94-106,359,-454
tor,por,110-103,104,-120
lal,no,99-96,405,-526
hou,phx,111-105,-344,286
ny,det,105-111,152,-175
min,lac,108-102,529,-714
chi,sac,107-102,149,-175
den,utah,81-85,296,-370
mia,dal,93-90,124,-144
no,sa,97-110,783,-1111
orl,okc,114-117,630,-909
gs,wsh,134-121,-588,438
det,bos,95-102,156,-185
ind,bkn,114-100,-263,220
cle,cha,97-106,-384,305
atl,phi,124-86,-357,293
min,lal,115-119,-181,156
mil,por,95-107,245,-294
tor,phx,104-97,-476,380
mia,hou,102-115,159,-185
bos,ny,97-89,-185,159
mil,sac,104-111,104,-123
tor,den,93-112,-192,163
chi,utah,96-105,181,-212
orl,sa,92-107,1474,-3333
dal,atl,97-112,210,-250
mem,no,110-95,123,-142
wsh,okc,98-114,429,-555
det,bkn,105-100,-294,243
cle,ind,111-106,-217,181
cha,lal,101-82,-172,147
min,por,93-96,231,-277
gs,ny,116-95,-625,483
phx,dal,78-91,359,-454
atl,mia,87-105,-147,125
bos,orl,114-119,-175,149
chi,lac,93-120,156,-181
sa,cle,103-117,-117,100
wsh,hou,123-122,161,-188
sac,mem,117-121,148,-172
den,ind,105-109,380,-476
bkn,no,103-105,334,-416
det,tor,107-111,290,-357
gs,phi,108-105,-4999,1627
lal,lac,93-105,1138,-1999
cha,por,91-109,200,-238
min,utah,90-103,333,-416
bkn,dal,79-91,319,-400
mia,mil,107-103,-112,-104
