4-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,edm,ana,-25.67,ana,ana,1-5,,9,+2424.5007297677,-2424.5007297677
,tor,buf,-2.15,buf,buf,3-4,,1,+115.1801318192307,-115.1801318192307
,col,sj,-8.16,sj,sj,1-5,,3,+209.69657688167817,-209.69657688167817
,phi,pit,-9.96,pit,phi,4-1,4,,+251.057367454607,-251.057367454607
,,,,,,,,
3-31-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,fla,bos,-5.98,bos,bos,2-3,,2,+169.0281189813723,-169.0281189813723
,car,wsh,-14.64,wsh,wsh,2-4,,5,+411.4827240079636,-411.4827240079636
,nj,cbj,-10.7,cbj,cbj,2-3,,4,+270.63550006812784,-270.63550006812784
,ott,det,2.48,ott,ott,2-1,,1,-119.13107991956365,+119.13107991956365
,van,nsh,-3.25,nsh,van,5-4,2,,+128.79946582072589,-128.79946582072589
,nyr,wpg,5.03,nyr,nyr,3-2,,2,-153.86017465851634,+153.86017465851634
,tb,tor,12.16,tb,tor,1-3,5,,-314.7085860400965,+314.7085860400965
,,,,,,,,
3-30-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,buf,ari,-1.33,ari,buf,4-1,1,,+105.82690780925552,-105.82690780925552
,cgy,dal,1.49,cgy,cgy,5-3,,1,-107.60188967612403,+107.60188967612403
,la,chi,-6.14,chi,chi,1-4,,3,+171.72149859900537,-171.72149859900537
,edm,col,-19.57,col,edm,4-1,7,,+759.5403025183338,-759.5403025183338
,tb,mtl,0.93,tb,tb,5-3,,1,-101.49076800395261,+101.49076800395261
,van,stl,3.97,van,van,4-1,,2,-138.45250642810228,+138.45250642810228
,,,,,,,,
3-29-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,nj,10.94,ana,ana,2-1,,4,-277.3570685304454,+277.3570685304454
,bos,car,2.89,bos,bos,2-1,,1,-124.1985365937205,+124.1985365937205
,cgy,nsh,-7.54,nsh,cgy,5-2,3,,+197.19999930857165,-197.19999930857165
,chi,wpg,3.9,chi,chi,4-3,,2,-137.48651311160108,+137.48651311160108
,det,nyi,1.96,det,nyi,4-5,1,,-112.95517137650673,+112.95517137650673
,fla,ott,-9.45,ott,fla,4-2,4,,+238.49538800033847,-238.49538800033847
,wsh,nyr,-11.45,nyr,wsh,5-2,4,,+292.29651266427584,-292.29651266427584
,sj,pit,1.3,sj,pit,2-3,1,,-105.49671289825912,+105.49671289825912
,,,,,,,,
3-28-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,nyi,1.93,ana,ana,3-2,,1,-112.6071198298086,+112.6071198298086
,ari,pit,-13.88,pit,pit,2-3,,5,+378.2883590938087,-378.2883590938087
,nyr,bos,14.29,nyr,bos,2-4,5,,-395.75246563916886,+395.75246563916886
,buf,col,-30.51,col,col,3-5,,10,+3746.1538461538544,-3746.1538461538544
,nj,car,4.74,nj,car,1-3,2,,-149.49429662198276,+149.49429662198276
,cbj,stl,-5.38,stl,cbj,4-2,2,,+159.28969164629646,-159.28969164629646
,dal,van,3.03,dal,dal,4-3,,2,-125.97058761252113,+125.97058761252113
,tb,det,8.79,tb,det,0-4,3,,-223.259386883898,+223.259386883898
,fla,mtl,-8.71,mtl,mtl,2-3,,3,+221.48598956340044,-221.48598956340044
,la,min,-3.3,min,min,1-4,,2,+129.45005637106323,-129.45005637106323
,nsh,wsh,-5.58,wsh,nsh,4-3,2,,+162.47392758985941,-162.47392758985941
,ott,tor,15.8,ott,tor,3-4,6,,-469.7929986587587,+469.7929986587587
,sj,phi,9.11,sj,sj,3-2,,4,-230.50892076446684,+230.50892076446684
,,,,,,,,
3-27-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,cgy,min,-7.42,min,min,2-4,,3,+194.87252834529923,-194.87252834529923
,cbj,chi,-7.38,chi,cbj,5-2,3,,+194.10303801902646,-194.10303801902646
,dal,edm,24.22,dal,edm,0-4,9,,-1694.574977687207,+1694.574977687207
,,,,,,,,
3-26-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,bos,1.87,ana,ana,3-2,,1,-111.91365363362134,+111.91365363362134
,ari,buf,1.07,ari,ari,4-3,,1,-102.99221269801384,+102.99221269801384
,pit,car,15.17,pit,car,2-5,6,,-436.87460635179195,+436.87460635179195
,col,van,-9.86,van,col,4-1,4,,+248.53699183258783,-248.53699183258783
,sj,det,1.26,sj,sj,6-4,,1,-105.05772602829614,+105.05772602829614
,fla,tor,5.94,fla,fla,4-1,,2,-168.36127868782071,+168.36127868782071
,la,nyi,-0.27,nyi,la,3-2,1,,+100.0,-100.0
,mtl,wpg,2.07,mtl,wpg,2-5,1,,-114.23893878407978,+114.23893878407978
,nsh,tb,-16.86,tb,nsh,3-2,6,,+533.0641429968412,-533.0641429968412
,nj,wsh,-10.63,wsh,wsh,2-3,,4,+268.71060691955904,-268.71060691955904
,nyr,ott,4.8,nyr,nyr,5-1,,2,-150.38794675701243,+150.38794675701243
,,,,,,,,
3-25-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,dal,cgy,1.63,dal,dal,4-3,,1,-109.17450452477881,+109.17450452477881
,chi,phi,9.93,chi,phi,1-4,4,,-250.29824868606795,+250.29824868606795
,col,edm,16.22,col,edm,3-4,6,,-493.58618161333504,+493.58618161333504
,,,,,,,,
3-24-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,cbj,10.0,ana,cbj,3-5,4,,-252.0735635736674,+252.0735635736674
,ari,det,-19.07,det,ari,5-4,7,,+708.5923575022621,-708.5923575022621
,fla,tb,-18.9,tb,tb,3-4,,7,+692.3930269413626,-692.3930269413626
,la,nyr,-12.03,nyr,la,4-2,5,,+310.4555078137807,-310.4555078137807
,min,nyi,8.95,min,min,2-1,,3,-226.852587801561,+226.852587801561
,mtl,nsh,3.14,mtl,nsh,2-3,2,,-127.3782019498208,+127.3782019498208
,stl,pit,3.92,stl,stl,3-2,,2,-137.76188999268095,+137.76188999268095
,wpg,van,-6.32,van,van,2-5,,3,+174.80216581199292,-174.80216581199292
,,,,,,,,
3-23-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,buf,dal,-20.26,dal,dal,3-4,,7,+839.1056581206076,-839.1056581206076
,col,cgy,-3.88,cgy,cgy,2-3,,2,+137.2116313537835,-137.2116313537835
,chi,car,20.57,chi,chi,3-1,,7,-878.9179873118529,+878.9179873118529
,wpg,edm,15.75,wpg,wpg,4-1,,6,-467.06308576829167,+467.06308576829167
,la,nj,-2.19,nj,la,3-1,1,,+115.65313200098922,-115.65313200098922
,min,tor,17.11,min,min,2-1,,6,-549.6531044021144,+549.6531044021144
,sj,ott,-5.23,ott,ott,2-5,,2,+156.94082371217127,-156.94082371217127
,,,,,,,,
3-22-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
