ana | anaheim-ducks
ari | arizona-coyotes
bos | boston-bruins
buf | buffalo-sabres
cgy | calgary-flames
car | carolina-hurricanes
chi | chicago-blackhawks
col | colorado-avalanche
cbj | columbus-blue-jackets
dal | dallas-stars
det | detroit-red-wings
edm | edmonton-oilers
fla | florida-panthers
la | los-angeles-kings
min | minnesota-wild
mtl | montreal-canadiens
nsh | nashville-predators
nj | new-jersey-devils
nyi | new-york-islanders
nyr | new-york-rangers
ott | ottawa-senators
phi | philadelphia-flyers
pit | pittsburgh-penguins
sj | san-jose-sharks
stl | st-louis-blues
tb | tampa-bay-lightning
tor | toronto-maple-leafs
van | vancouver-canucks
wsh | washington-capitals
wpg | winnipeg-jets
