nj,phi,3-1,261,124
phi,nj,2-4,265,149
ari,nsh,1-0,258,100
phi,nj,3-4,254,143
nj,phi,4-1,285,-111
wsh,nyr,3-2,265,100
la,stl,3-1,256,104
wsh,nyr,1-3,265,102
fla,nj,2-3,270,-103
nyr,ott,3-2,260,147
bos,wsh,4-3,268,159
pit,phi,1-5,301,156
sj,stl,1-3,282,-113
ott,nyr,2-0,273,-106
nj,fla,0-3,256,164
wsh,bos,4-3,277,-116
phi,pit,2-3,325,-125
stl,sj,2-1,260,152
bos,wsh,1-2,268,170
fla,nj,0-4,276,-107
nyr,ott,2-3,265,156
pit,phi,10-3,287,129
nsh,det,3-1,270,-103
fla,nj,4-3,287,-114
nyr,ott,1-0,268,160
bos,wsh,4-3,256,169
nj,fla,2-4,264,158
pit,phi,4-8,279,158
nsh,det,3-2,271,108
sj,stl,0-3,270,-103
ott,nyr,3-2,284,-109
wsh,bos,2-1,290,-120
det,nsh,3-2,260,137
phi,pit,8-5,307,-125
nj,fla,3-2,264,154
wsh,bos,0-1,290,-117
sj,stl,3-2,278,-101
ott,nyr,2-4,291,-111
la,van,4-2,275,-103
phi,pit,4-3,293,-113
la,sj,2-3,269,112
edm,van,0-3,328,-158
nsh,col,6-1,274,179
stl,dal,3-2,268,181
ari,min,4-1,275,184
car,fla,1-4,282,-108
nyi,cbj,3-7,271,131
tor,mtl,1-4,278,125
tb,wpg,4-3,287,106
wsh,nyr,4-1,282,-103
buf,bos,3 pen.-4,295,-111
ana,cgy,2-5,280,122
phi,pit,2-4,291,-103
ott,nj,2-4,283,112
chi,det,3 pen.-2,297,-104
ari,stl,4-1,282,-108
sj,la,6 pen.-5,263,127
ana,edm,3-2,279,134
van,cgy,2-3,267,200
cbj,col,5-2,293,-123
chi,min,1 pen.-2,282,199
dal,nsh,0-2,261,102
nj,det,2-1,289,-101
bos,ott,3-1,280,119
mtl,car,1 pen.-2,290,-104
wpg,nyi,4-5,280,127
buf,phi,1-2,289,112
nyr,pit,2-5,289,-109
tb,tor,2-3,289,116
fla,wsh,2-4,282,102
tb,mtl,2-5,279,137
det,stl,3 pen.-2,271,110
cbj,ari,0-2,313,-147
ana,van,4 pen.-5,298,-125
sj,dal,5-2,263,156
min,nsh,1 pen.-2,305,-151
pit,bos,5-3,283,154
wpg,fla,5-4,281,-104
car,ott,2-1,294,-105
tor,buf,5-6,319,-144
nyi,nj,1-3,300,-131
nyr,phi,5-3,262,142
edm,la,0-2,321,-166
wsh,tb,2-4,284,183
edm,ana,2-1,283,-101
min,chi,5 pen.-4,305,-147
bos,nyr,2-1,269,112
fla,det,1 pen.-2,301,-121
ott,nyi,5-1,279,159
phi,pit,6-4,313,-125
dal,sj,0-3,280,-106
cgy,van,2-3,292,-121
ana,ari,0-4,272,100
la,min,3 pen.-4,270,206
chi,nsh,5-4,267,114
cbj,stl,5-2,355,-208
nj,car,5-0,270,177
wpg,tb,2-3,284,122
buf,tor,3-4,292,220
mtl,wsh,2 pen.-3,315,-151
bos,nyi,6-3,280,202
ott,phi,4 pen.-3,290,104
dal,van,2-5,281,102
la,edm,4-1,271,204
col,cgy,4-1,263,127
pit,buf,5-3,279,156
nsh,det,4-1,279,102
mtl,nyr,1-4,309,-149
wpg,car,4-3,272,108
fla,cbj,1-4,285,190
sj,ari,0-2,266,133
stl,chi,3 pen.-4,261,154
fla,min,2-3,267,186
wsh,bos,3 pen.-2,293,-120
tb,nj,4-6,307,-133
pit,nyi,3-5,297,263
phi,tor,7-1,289,206
sj,ana,1-3,269,165
col,van,0-1,282,-108
la,cgy,3-0,263,163
dal,edm,3-1,278,172
det,cbj,2-4,322,293
nyr,wpg,4-2,275,158
nyr,min,3-2,281,254
nsh,stl,0-3,271,106
tb,bos,2-5,330,-163
fla,mtl,3 pen.-2,268,150
chi,nj,1 pen.-2,278,120
nyi,pit,5-3,357,-196
car,tor,3-0,272,138
buf,wsh,5-1,269,143
col,sj,1-5,280,-107
la,van,0-1,262,119
dal,cgy,4-5,267,136
ott,wpg,6-4,277,131
cbj,det,2-7,358,-200
tb,phi,5-3,324,-147
stl,ari,4-0,269,171
bos,ana,3-2,272,135
nsh,chi,6-1,275,120
nj,pit,2-5,301,-125
nyi,fla,3 pen.-2,284,-109
min,wsh,0-3,308,-142
edm,cbj,6-3,277,152
ari,sj,3 pen.-4,271,104
van,col,3-2,269,150
bos,la,4-2,269,127
min,buf,1-3,301,-135
car,det,4-5,312,-125
wpg,nsh,1-3,299,-123
pit,ott,4-8,297,237
mtl,phi,1-4,316,-151
nyi,tb,3-4,280,138
nyr,tor,4 pen.-3,285,212
cgy,dal,1-4,270,108
edm,fla,2 pen.-1,289,-116
ott,mtl,1-5,272,175
car,cbj,1-5,282,199
tor,nj,4 pen.-3,299,-125
buf,nyr,4-1,281,-103
wpg,wsh,4-3,265,120
stl,la,0 pen.-1,260,117
bos,sj,1-2,266,146
col,ari,2-3,266,125
van,dal,2-1,272,134
cgy,min,2 pen.-3,262,165
edm,tb,2 pen.-3,279,131
wsh,phi,1 pen.-2,291,-107
nsh,pit,1-5,301,-121
stl,ana,3-4,263,165
van,chi,1-2,268,141
det,nyr,1-2,270,106
mtl,buf,0-3,281,-109
fla,car,1-3,270,121
sj,la,2-5,265,112
cgy,col,1-2,270,110
ari,dal,3 pen.-4,267,123
edm,nsh,6-3,312,-136
nj,ott,1-0,279,124
chi,cbj,5-1,294,252
fla,phi,2-1,287,-103
wpg,pit,4-8,330,-161
nyi,tor,5-2,285,129
ana,sj,5-3,286,-129
van,min,0-2,291,273
wsh,det,5-3,297,-121
nj,nyr,2-4,269,110
buf,tb,7-3,273,160
tor,bos,0-8,308,-133
car,wpg,4-3,297,-121
nsh,ana,3-1,270,134
cbj,cgy,2 pen.-1,313,-138
ari,edm,3 pen.-2,274,169
wsh,chi,2-5,288,-102
pit,phi,2-3,283,175
nsh,la,2-4,258,138
det,sj,2-3,268,116
cbj,van,3-4,325,-172
buf,fla,2 pen.-3,268,125
nyi,mtl,3 pen.-2,274,136
col,nyr,3-1,289,-113
tor,ott,3-1,292,-103
stl,tb,3-1,284,216
car,min,5-3,258,160
phi,bos,2 pen.-3,283,117
pit,nj,5-2,276,177
la,ana,4-2,260,150
cgy,edm,1-3,275,133
chi,dal,4-1,268,125
wsh,wpg,2-3,277,129
mtl,ott,1-2,294,-109
nsh,sj,1 pen.-2,269,123
ari,cgy,1-4,270,117
bos,fla,2-6,272,179
tor,tb,3-1,284,112
stl,car,0-2,272,215
col,nj,0 pen.-1,281,-111
phi,nyi,3-2,284,191
pit,nyr,5-2,267,179
det,ana,0-4,272,142
cbj,edm,0-3,286,-103
ari,van,5-4,285,-116
dal,wpg,2-5,271,117
col,buf,5 pen.-4,280,112
ott,mtl,2 pen.-3,276,171
det,la,2-5,265,131
sj,cgy,2-3,261,152
stl,chi,3 pen.-4,263,166
dal,min,1-0,271,222
tor,fla,2-5,276,112
car,nyr,2-4,296,-119
bos,tb,1-6,285,196
wsh,nyi,5 pen.-4,278,161
nj,phi,0-3,273,125
nsh,ari,5 pen.-4,259,150
sj,edm,3-2,279,195
ana,col,2-3,268,124
mtl,buf,2-3,285,-103
la,chi,3 pen.-2,252,124
phi,nj,1-4,276,108
nyi,nyr,3-4,303,-144
stl,cbj,2-1,289,247
cgy,min,4-3,267,190
car,fla,0-2,286,102
tor,wsh,0-2,289,100
bos,pit,2-5,280,106
mtl,van,4-1,325,-156
sj,ari,0-3,261,146
ana,dal,0-2,265,124
det,nsh,2-3,275,112
cbj,stl,1-4,303,-156
nj,nyi,2-1,261,183
buf,ott,4 pen.-3,274,104
car,tb,4-2,280,131
phi,tor,1 pen.-0,278,152
edm,col,2 pen.-3,286,-103
wsh,bos,4-3,300,-125
wpg,cgy,3-5,275,112
nyr,chi,3-4,252,139
la,det,3-4,272,-101
fla,pit,1 pen.-2,320,-151
wpg,van,2-3,301,-129
mtl,edm,5-3,281,110
min,ari,3 pen.-2,298,-135
sj,dal,3 pen.-4,268,156
col,nsh,2-4,285,-105
ana,stl,1-3,287,-112
nyr,ott,1-4,262,154
buf,bos,1-3,305,-135
la,cbj,1-3,275,215
nyi,nj,1-5,283,-113
fla,phi,0-5,293,-107
tb,wsh,2-3,299,-106
tor,pit,2-3,322,-144
car,buf,2-3,294,-113
edm,sj,3 pen.-2,316,-149
dal,van,5-2,292,-129
mtl,cgy,4-5,278,104
min,col,1-7,279,-112
la,nsh,5-4,257,114
chi,stl,1-5,260,104
ott,tb,7-3,269,163
ari,cbj,2-3,282,196
nyr,nj,1-4,250,161
det,phi,2-3,285,116
bos,tor,5-4,286,191
car,wsh,4-3,289,100
edm,ana,2-4,299,-117
buf,wpg,1-3,264,135
ari,pit,1-2,299,-117
col,min,2-0,263,156
phi,wsh,1-0,280,162
dal,cgy,3 pen.-2,268,135
ott,fla,2-4,265,167
chi,det,2-1,270,-102
nj,nyi,0-1,267,210
bos,nyr,3-4,271,108
ana,la,2-4,275,106
stl,sj,3-1,257,136
buf,van,5-3,296,-131
pit,col,5-1,280,174
cbj,ari,5-2,320,-149
nsh,fla,3-1,267,175
tb,car,4-3,298,-103
tor,mtl,3-1,276,141
nyi,bos,3-2,326,-151
cgy,ana,2-3,294,-114
dal,edm,3-1,278,147
min,det,0-6,334,-175
nyr,tb,3-4,277,189
chi,ott,2-1,268,114
nj,wsh,5-0,270,118
buf,sj,1-0,299,-116
stl,van,0-2,274,-104
cgy,ari,4-2,283,-108
cbj,col,2-0,305,-144
fla,wpg,0-7,276,118
nj,bos,3-4,284,-107
nyr,car,3-2,275,195
min,mtl,4 pen.-5,270,114
nyi,phi,3-6,308,-126
buf,ana,2-0,290,100
stl,edm,5-2,271,198
tor,chi,4-5,295,-112
pit,dal,4 pen.-3,274,177
phi,sj,0-1,282,125
van,ari,1 pen.-2,267,177
la,min,4-0,257,160
mtl,tb,1-2,279,140
ott,bos,1-0,309,-128
nsh,car,3-4,275,164
det,cbj,5-2,301,252
fla,tor,5-3,286,112
nyi,wsh,2-3,300,-113
stl,cgy,3-1,254,179
ana,col,1-4,269,136
edm,wpg,5-3,293,-106
la,nsh,1-2,254,106
nj,nyr,0-2,273,-111
chi,ana,1-3,287,104
sj,min,3-4,275,195
mtl,fla,2-4,270,123
nyi,ott,2-5,286,106
van,dal,2-3,289,208
tb,nj,4-3,313,-144
cbj,pit,2-4,353,-192
phi,cgy,5 pen.-4,282,167
chi,la,0-4,258,129
sj,nsh,2-6,267,127
fla,car,3 pen.-2,268,133
col,det,4-3,336,-161
buf,nyr,2-3,301,-131
bos,ott,5-3,277,159
wsh,tor,4-2,289,110
ari,edm,3-1,279,154
stl,wpg,3 pen.-2,270,173
tb,pit,1-8,345,-158
min,dal,1-4,276,-105
bos,buf,1 pen.-2,282,189
col,cbj,5-0,281,172
van,nj,2-1,273,143
nyr,nyi,3 pen.-4,285,217
mtl,wsh,1-4,281,112
phi,edm,0-2,286,189
ari,cgy,4 pen.-3,258,139
dal,chi,3-1,301,-123
tb,wpg,3-4,289,102
stl,nsh,3 pen.-2,263,125
van,det,4 pen.-3,283,124
min,fla,3 pen.-2,272,104
ana,car,3 pen.-2,284,160
sj,tor,2-1,281,165
la,col,1-4,260,146
bos,stl,4-2,266,131
wsh,ott,2-5,289,100
la,ari,4 pen.-5,256,135
edm,cgy,6-1,287,-112
det,chi,1-2,273,143
van,nsh,1-3,271,152
dal,mtl,3-0,275,108
ana,tb,2-3,282,166
nyi,buf,1-2,297,-111
sj,cbj,3-6,305,250
nyr,pit,0-2,273,127
nj,tor,4-3,277,150
phi,wpg,5-4,286,161
wsh,car,0-5,275,175
ott,nyi,6-0,275,148
van,edm,5-2,292,210
col,wpg,1-5,276,116
cbj,nyr,2-3,347,-196
nsh,dal,3-2,268,189
ana,fla,2-0,258,152
nj,mtl,3-1,266,146
bos,min,0-2,294,271
pit,buf,2-6,286,175
stl,chi,1-3,269,127
sj,det,2-3,292,-102
cgy,la,1-0,262,116
dal,ari,1-2,281,-102
car,nyi,3-4,288,114
wsh,tb,1-2,280,127
tor,van,2-6,313,-128
min,stl,0-4,307,-144
chi,cbj,6-1,296,223
pit,phi,6-4,274,139
col,edm,3-1,282,129
bos,wpg,2-4,300,224
mtl,buf,4 pen.-3,267,144
nsh,det,1-2,299,-104
wsh,fla,2-1,271,147
sj,car,2-3,287,184
ana,nj,2 pen.-3,275,121
ari,la,1-0,262,116
cgy,dal,2-3,266,129
wpg,min,4 pen.-3,264,131
nyi,stl,1-5,292,-131
sj,tb,5-6,283,187
chi,nyr,4-2,290,100
buf,phi,2-7,298,-111
tor,edm,4-3,280,140
col,van,1-3,319,-140
ott,fla,6-2,277,119
bos,mtl,4 pen.-3,272,167
ana,pit,2-1,315,-126
tor,cgy,1-5,280,125
nyi,wpg,3-1,280,114
chi,nsh,2-3,293,124
dal,det,1-3,338,-144
ana,min,2-1,275,162
nyr,bos,3-0,269,123
nj,buf,4-1,273,133
stl,cbj,1-2,285,252
ott,tb,4-0,282,125
ari,van,1 pen.-2,296,-114
car,mtl,5-3,283,-102
sj,wsh,5-3,275,162
phi,det,3-4,304,-116
tb,pit,2-4,328,-133
sj,stl,0-3,261,145
ana,cbj,5-3,290,211
la,dal,4-2,259,131
fla,nyi,4-1,271,117
wsh,nyr,2-3,281,-105
van,cgy,2 pen.-3,279,197
chi,ari,0-3,284,131
cbj,min,3-1,287,-107
col,stl,2-3,301,-135
tb,buf,2-1,289,117
mtl,tor,5-0,289,104
edm,ott,4-3,300,-103
wpg,pit,5-8,317,-133
la,nyi,1-2,262,158
nyr,phi,5-2,280,140
nsh,bos,3 pen.-4,292,-106
fla,nj,3-1,282,-101
chi,sj,3-5,287,112
car,col,3-4,287,110
dal,buf,2 pen.-3,294,-106
ana,det,1 pen.-2,316,-123
cgy,ari,1-2,285,-108
van,min,5-2,277,196
la,fla,1-3,266,185
nsh,ott,3-4,271,163
dal,cbj,4-2,279,159
stl,nj,4 pen.-3,264,146
mtl,nyi,4-2,274,134
tb,nyr,3-4,305,-125
tor,phi,3-4,301,-101
wpg,wsh,3 pen.-2,290,-112
car,ana,2-3,290,100
cgy,sj,4-3,295,-125
bos,buf,0-6,287,224
edm,det,2-4,343,-163
chi,col,2-5,289,185
ari,dal,4-1,286,106
tor,wpg,1-2,277,135
van,nsh,4 pen.-3,274,152
pit,mtl,2 pen.-3,277,181
stl,ott,3-1,270,152
la,tb,3-1,270,147
min,cbj,1-3,267,154
nj,nyr,1-0,285,-109
nyi,phi,1 pen.-0,307,-121
fla,wsh,0-4,291,-103
cgy,ana,2 pen.-3,290,104
det,ari,1-3,287,175
edm,tor,3-6,301,-112
wpg,mtl,0-3,281,119
pit,nj,2-5,273,163
phi,nyr,2-5,291,100
bos,wsh,4-1,285,184
det,edm,4 pen.-5,300,212
sj,ari,3-5,277,177
min,dal,1 pen.-2,272,102
stl,nsh,1-3,268,125
la,car,1-2,272,152
buf,nyi,4 pen.-3,288,127
tor,ott,5-0,286,125
fla,tb,3-6,292,110
van,col,3 pen.-2,295,209
wsh,mtl,3-0,273,141
pit,bos,2-1,290,100
nj,phi,6-4,303,-112
cbj,ana,3-2,324,-140
chi,cgy,1-3,287,156
la,stl,0-1,275,108
wpg,fla,1-2,296,-105
nyi,ott,2-1,294,106
dal,sj,2-5,316,-135
det,van,4 pen.-3,283,122
chi,edm,4-8,298,220
min,col,1-0,277,110
wpg,tb,2-1,292,104
car,bos,3-0,358,-185
mtl,nj,3-5,278,114
nsh,phi,1-4,285,110
dal,ana,6-2,281,104
cbj,la,2-3,309,-161
wsh,fla,2-4,281,112
nyr,buf,1 pen.-0,282,204
pit,tor,0-1,277,156
cbj,sj,0-6,351,-181
chi,van,2-3,286,108
col,edm,2-3,269,158
ana,ari,4-1,286,122
det,cgy,3-1,282,200
nsh,min,5-4,276,175
buf,mtl,3-1,281,102
wsh,tb,3-4,294,120
ott,bos,3-4,319,-136
nyi,car,5-2,288,122
nyr,nj,3 pen.-4,277,169
wpg,phi,2 pen.-1,313,-129
tor,pit,4 pen.-5,304,-119
det,mtl,2-7,289,219
edm,van,2 pen.-3,374,-204
ott,ari,2-3,285,112
sj,cgy,1-0,278,150
min,col,3-2,276,102
nsh,chi,3-1,296,-102
ana,dal,0-1,281,137
pit,stl,3 pen.-2,273,129
phi,fla,3 pen.-2,277,160
cbj,tb,2-4,304,-120
buf,nj,2 pen.-1,282,-108
tor,nyi,4-3,279,125
wpg,nyr,0-3,325,-163
