4-1-2014,Away,Home,Algo points,Proj winner,Winner,,,Score
,wpg,ari,-7.63,ari,wpg,3,,2-1
,nj,buf,6.09,nj,buf,3,,2-3
,cgy,tor,1.24,tor,tor,,1,2-3
,car,pit,-16.07,pit,car,6,,4-1
,col,cbj,3.65,col,col,,2,3-2
,dal,wsh,2.99,wsh,dal,1,,5-0
,edm,sj,-19.1,sj,sj,,7,4-5
,fla,nyi,-3.87,nyi,nyi,,2,2-4
,mtl,tb,2.93,tb,tb,,1,1-3
,nyr,van,12.22,nyr,nyr,,5,3-1
,phi,stl,-9.14,stl,stl,,4,0-1
,,,,,,,,
3-31-2014,Away,Home,Algo points,Proj winner,Winner,,,Score
,wpg,ana,-7.35,ana,ana,,3,4-5
,car,ott,3.56,car,ott,2,,1-2
,fla,nj,-9.39,nj,nj,,4,3-6
,min,la,-7.34,la,min,3,,3-2
,,,,,,,,
3-30-2014,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,phi,9.95,bos,bos,,4,4-3
,cgy,ott,5.51,cgy,ott,2,,3-6
,chi,pit,-4.54,pit,pit,,2,1-4
,tb,det,10.56,tb,det,4,,2-3
,nyr,edm,11.96,nyr,nyr,,4,5-0
,wsh,nsh,2.2,nsh,nsh,,1,3-4
,,,,,,,,
3-29-2014,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,van,7.99,ana,ana,,3,5-1
,min,ari,-5.23,ari,min,2,,3-1
,bos,wsh,13.42,bos,bos,,5,4-2
,tb,buf,16.76,tb,tb,,6,4-3
,cbj,car,-0.46,car,cbj,1,,3-2
,sj,col,-0.82,col,col,,1,2-3
,dal,stl,-14.1,stl,dal,5,,4-2
,det,tor,0.21,tor,det,1,,4-2
,mtl,fla,12.98,mtl,mtl,,5,4-1
,wpg,la,-9.95,la,la,,4,2-4
,nj,nyi,2.64,nyi,nyi,,1,1-2
,,,,,,,,
3-28-2014,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,edm,25.29,ana,edm,9,,3-4
,nyr,cgy,10.26,nyr,cgy,4,,3-4
,chi,ott,13.7,chi,ott,5,,3-5
,pit,cbj,8.26,pit,pit,,3,2-1
,nsh,dal,-1.43,dal,dal,,1,3-7
