2-26-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,edm,ana,-10.96,ana,ana,,1,1-2
,bos,car,4.71,bos,bos,,1,4-1
,buf,sj,-1.96,sj,buf,1,,3-1
,min,wsh,-9.56,wsh,wsh,,1,2-3
,tb,nj,-0.35,nj,tb,1,,4-0
,,,,,,,,
2-25-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,fla,-5.75,fla,fla,,1,2-3
,nyi,cgy,4.92,nyi,nyi,,1,2-1
,car,tor,5.63,car,tor,1,,1-3
,nsh,chi,-7.26,chi,nsh,1,,3-1
,nj,cbj,-1.74,cbj,cbj,,1,1-6
,wpg,dal,-10.08,dal,wpg,1,,6-3
,edm,la,-13.65,la,la,,1,1-2
,min,phi,-0.47,phi,phi,,1,2-3
,nyr,stl,-0.02,stl,nyr,1,,2-1
,ott,van,3.69,ott,van,1,,3-5
,,,,,,,,
2-24-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,buf,ana,-5.69,ana,ana,,1,0-1
,pit,bos,-2.74,bos,bos,,1,1-5
,sj,col,5.81,sj,col,1,,3-4
,mtl,wsh,-13.07,wsh,mtl,1,,4-3
,,,,,,,,
2-23-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,tb,-7.36,tb,tb,,1,1-2
,cgy,la,-4.05,la,la,,1,1-2
,phi,car,1.92,phi,car,1,,1-3
,cbj,det,2.43,cbj,det,1,,1-2
,dal,wpg,7.27,dal,dal,,1,5-3
,ott,edm,1.45,ott,ott,,1,4-1
,nyi,min,2.8,nyi,nyi,,1,4-1
,nsh,tor,4.33,nsh,nsh,,1,3-2
,nyr,nj,2.31,nyr,nj,1,,2-5
,,,,,,,,
2-22-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,wsh,-9.23,wsh,wsh,,1,2-3
,cbj,bos,-4.02,bos,cbj,1,,6-4
,nsh,mtl,-0.21,mtl,nsh,1,,2-1
,sj,stl,1.24,sj,sj,,1,6-3
,,,,,,,,
2-21-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,cgy,ana,-18.66,ana,ana,,1,2-5
,pit,buf,9.22,pit,pit,,1,4-3
,tb,car,1.46,tb,tb,,1,4-2
,chi,min,2.07,chi,min,1,,1-6
,col,van,6.55,col,van,1,,1-5
,det,nyr,-6.05,nyr,nyr,,1,0-1
,,,,,,,,
2-20-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,stl,ari,9.87,stl,stl,,1,6-4
,bos,dal,-2.41,dal,bos,1,,7-3
,col,edm,3.04,col,col,,1,3-2
,det,ott,4.42,det,ott,1,,2-3
,wpg,fla,-4.78,fla,fla,,1,1-3
,la,nsh,1.04,la,la,,1,2-1
,nj,wsh,-12.02,wsh,wsh,,1,3-4
,phi,tor,0.67,phi,phi,,1,5-4
,tb,pit,-5.84,pit,tb,1,,4-2
,,,,,,,,
2-19-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,buf,cbj,-0.29,cbj,buf,1,,4-0
,van,cgy,-1.78,cgy,cgy,,1,2-5
,sj,car,4.94,sj,car,1,,2-5
,phi,mtl,-0.1,mtl,mtl,,1,2-3
,nyi,nj,0.2,nyi,nyi,,1,1-0
,,,,,,,,
2-18-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,van,3.91,ana,ana,,1,5-2
,dal,ari,9.84,dal,ari,1,,3-6
,bos,nsh,2.59,bos,nsh,1,,0-2
,car,ott,2.08,car,ott,1,,2-4
,det,pit,-1.42,pit,pit,,1,3-6
,min,edm,1.71,min,min,,1,5-2
,sj,fla,0.3,sj,sj,,1,2-1
,la,stl,-0.36,stl,stl,,1,1-2
,wsh,nyi,5.71,wsh,wsh,,1,3-2
,nyr,tor,7.42,nyr,nyr,,1,4-2
,wpg,tb,-2.73,tb,tb,,1,5-6
,,,,,,,,
2-17-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,min,cgy,1.68,min,min,,1,5-3
,chi,nyr,-1.91,nyr,chi,1,,5-3
,mtl,col,-1.37,col,col,,1,2-3
,,,,,,,,
2-16-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,edm,6.56,ana,ana,,1,5-3
